city,task_id,p_req_level,p_req,strategy,regime,eval_outcome,pool_size,pool_feasible,n_selected,p_commit,p_deliv,shortfall,ocr,success,seed_id,master_seed
City-A,T1,1x,180.0,S0a_RoutineOracle,routine,M_routine,800,True,1,558.9,558.9,0.0,0.0,1.0,17,17000002048
City-A,T1,1x,180.0,S0a_RoutineOracle,cross_regime,M_stress,800,True,1,558.9,186.0,0.0,0.6672,1.0,17,17000002048
City-A,T1,1x,180.0,S0b_StressOracle,routine,M_routine,800,True,1,323.6,482.3,0.0,0.0,1.0,17,17000002048
City-A,T1,1x,180.0,S0b_StressOracle,cross_regime,M_stress,800,True,1,323.6,323.6,0.0,0.0,1.0,17,17000002048
City-A,T1,1x,180.0,S1_CapRR,routine,M_routine,800,True,1,678.2,482.3,0.0,0.2888,1.0,17,17000002048
City-A,T1,1x,180.0,S1_CapRR,cross_regime,M_stress,800,True,1,678.2,323.6,0.0,0.5228,1.0,17,17000002048
City-A,T1,1x,180.0,S2_Platform,routine,M_routine,800,True,1,421.1,482.3,0.0,0.0,1.0,17,17000002048
City-A,T1,1x,180.0,S2_Platform,cross_regime,M_stress,800,True,1,421.1,323.6,0.0,0.2314,1.0,17,17000002048
City-A,T1,1x,180.0,S3_Lin4,routine,M_routine,800,True,1,489.1,482.3,0.0,0.0138,1.0,17,17000002048
City-A,T1,1x,180.0,S3_Lin4,cross_regime,M_stress,800,True,1,489.1,323.6,0.0,0.3383,1.0,17,17000002048
City-A,T1,1x,180.0,S4_GlobalCalib,routine,M_routine,800,True,1,450.0,482.3,0.0,0.0,1.0,17,17000002048
City-A,T1,1x,180.0,S4_GlobalCalib,cross_regime,M_stress,800,True,1,450.0,323.6,0.0,0.2809,1.0,17,17000002048
City-A,T1,1x,180.0,S5_CityCalib,routine,M_routine,800,True,1,453.9,482.3,0.0,0.0,1.0,17,17000002048
City-A,T1,1x,180.0,S5_CityCalib,cross_regime,M_stress,800,True,1,453.9,323.6,0.0,0.287,1.0,17,17000002048
City-A,T1,1x,180.0,S6_Q10,routine,M_routine,800,True,1,316.4,482.3,0.0,0.0,1.0,17,17000002048
