seed_id,tsr_s1,tsr_gcal,tsr_lcb,nsel_s1,nsel_gcal,nsel_lcb,coverage,mean_lcb_width,mean_lcb,mean_n_fit,mean_n_cal,mean_conformal_q
0,33.33333333333333,80.0,100.0,1.9333333333333333,2.6,2.8666666666666667,0.9015384615384615,40.261361926095425,94.60901811934899,6240.0,1560.0,40.358599860910196
1,46.666666666666664,86.66666666666667,93.33333333333333,1.9333333333333333,2.6,2.8666666666666667,0.8982564102564102,39.50664919925161,95.52680627281121,6240.0,1560.0,39.56446440190121
2,33.33333333333333,93.33333333333333,93.33333333333333,1.9333333333333333,2.6,2.8666666666666667,0.9048205128205128,41.77300903271415,93.94718702892828,6240.0,1560.0,42.13261385800432
3,40.0,80.0,80.0,1.9333333333333333,2.6,2.8666666666666667,0.9012307692307693,40.6616852194959,94.54866826193204,6240.0,1560.0,40.78410129636602
4,60.0,86.66666666666667,93.33333333333333,1.9333333333333333,2.533333333333333,2.8,0.8988821659316993,39.37865215031233,96.30515754205389,6240.0,1560.8,39.41715532093655
5,33.33333333333333,86.66666666666667,93.33333333333333,1.9333333333333333,2.6,2.8666666666666667,0.9001025641025641,39.73259753454157,95.70059175504572,6240.0,1560.0,39.819274920244865
6,40.0,86.66666666666667,100.0,1.9333333333333333,2.6,2.8666666666666667,0.9014460055378936,40.43691476544168,94.97541147736325,6240.0,1560.8,40.462274189908754
7,46.666666666666664,100.0,100.0,1.9333333333333333,2.6,2.8666666666666667,0.9017435897435897,40.57670384273251,94.58053476372478,6240.0,1560.0,40.697629673208766
8,53.333333333333336,80.0,93.33333333333333,1.9333333333333333,2.6,2.8666666666666667,0.9032820512820513,40.4638516401687,94.50080433605062,6240.0,1560.0,40.607759770161664
9,46.666666666666664,93.33333333333333,100.0,1.9333333333333333,2.6,2.8666666666666667,0.9008205128205128,40.169405307096504,95.03498403879208,6240.0,1560.0,40.25054280955875
10,40.0,100.0,100.0,1.9333333333333333,2.6,2.8666666666666667,0.8993846153846153,39.54660675285206,96.05876263821781,6240.0,1560.0,39.523373757836836
11,40.0,86.66666666666667,93.33333333333333,1.9333333333333333,2.6,2.8666666666666667,0.9001128089426725,39.41234284254354,95.88429072696796,6240.0,1560.8,39.40468665005325
12,46.666666666666664,93.33333333333333,100.0,1.9333333333333333,2.6,2.8666666666666667,0.9007179487179487,40.45878965865631,94.7350303265609,6240.0,1560.0,40.66109007515893
13,33.33333333333333,60.0,86.66666666666667,1.9333333333333333,2.6,2.8666666666666667,0.9016511127063891,40.61405740451306,94.72572075721988,6240.0,1560.8,40.79343238507028
14,40.0,93.33333333333333,100.0,1.9333333333333333,2.6,2.8666666666666667,0.9001025641025641,39.66905099547529,95.44923626777995,6240.0,1560.0,39.7510794086755
15,46.666666666666664,86.66666666666667,93.33333333333333,1.9333333333333333,2.6,2.8666666666666667,0.9004102564102564,39.97521288662287,95.09227670112365,6240.0,1560.0,40.0501910978008
16,40.0,93.33333333333333,100.0,1.9333333333333333,2.6,2.8666666666666667,0.8964102564102564,39.48775401554437,95.27448012505559,6240.0,1560.0,39.56368360807406
17,40.0,80.0,86.66666666666667,1.9333333333333333,2.6,2.8666666666666667,0.8972307692307693,39.232844586723296,96.02488629968168,6240.0,1560.0,39.149062180451075
18,40.0,86.66666666666667,100.0,1.9333333333333333,2.6,2.8666666666666667,0.8971282051282051,39.547866783627164,95.8486533432465,6240.0,1560.0,39.73898388463399
19,53.333333333333336,93.33333333333333,100.0,1.9333333333333333,2.6,2.8666666666666667,0.8998974358974359,40.18448517694138,95.21391883275079,6240.0,1560.0,40.3801383548154
20,33.33333333333333,93.33333333333333,100.0,1.9333333333333333,2.6,2.8666666666666667,0.9038974358974359,41.56794633560618,93.45895327168195,6240.0,1560.0,41.735096706811326
21,40.0,80.0,86.66666666666667,1.9333333333333333,2.6,2.8666666666666667,0.9051282051282051,42.33777795674991,93.1697482923928,6240.0,1560.0,42.647148491956514
22,60.0,86.66666666666667,93.33333333333333,1.9333333333333333,2.6,2.8666666666666667,0.9022564102564102,41.45903128265113,94.13490370024748,6240.0,1560.0,41.64295398348291
23,20.0,86.66666666666667,93.33333333333333,1.9333333333333333,2.6,2.8666666666666667,0.8998974358974359,40.30889594102714,95.25027041116658,6240.0,1560.0,40.349745409611295
24,53.333333333333336,93.33333333333333,100.0,1.9333333333333333,2.6,2.8666666666666667,0.9008205128205128,39.92764878604947,95.9639734014601,6240.0,1560.0,40.12354843504477
25,46.666666666666664,86.66666666666667,86.66666666666667,1.9333333333333333,2.6,2.8666666666666667,0.8957948717948718,39.21653982446353,96.18300547963177,6240.0,1560.0,39.25170040915145
26,46.666666666666664,86.66666666666667,100.0,1.9333333333333333,2.6,2.8666666666666667,0.9016410256410257,40.21632833805194,94.78479951769522,6240.0,1560.0,40.28441736153221
27,46.666666666666664,93.33333333333333,93.33333333333333,1.9333333333333333,2.6,2.8666666666666667,0.904,41.22057433847097,95.1583735531159,6240.0,1560.0,41.43886147857562
28,46.666666666666664,86.66666666666667,100.0,1.9333333333333333,2.6,2.8666666666666667,0.9014358974358975,40.3500427464895,95.12778279043434,6240.0,1560.0,40.54026634513316
29,40.0,80.0,100.0,1.9333333333333333,2.6,2.8666666666666667,0.8966153846153846,39.13755651627766,96.52940151741066,6240.0,1560.0,39.125377526894695
