city,task_id,p_req_level,p_req,strategy,regime,eval_outcome,pool_size,pool_feasible,n_selected,p_commit,p_deliv,shortfall,ocr,success,config_name,seed_id,xi_mean,xi_std,xi_dist,xi_persistence
City-A,T1,1x,180.0,S0a_RoutineOracle,routine,M_routine,800,True,1,549.5,549.5,0.0,0.0,1.0,mean_0.75,6,0.75,0.15,beta,none
City-A,T1,1x,180.0,S0a_RoutineOracle,cross_regime,M_stress,800,True,1,549.5,275.9,0.0,0.4979,1.0,mean_0.75,6,0.75,0.15,beta,none
City-A,T1,1x,180.0,S0b_StressOracle,routine,M_routine,800,True,1,379.3,418.1,0.0,0.0,1.0,mean_0.75,6,0.75,0.15,beta,none
City-A,T1,1x,180.0,S0b_StressOracle,cross_regime,M_stress,800,True,1,379.3,379.3,0.0,0.0,1.0,mean_0.75,6,0.75,0.15,beta,none
City-A,T1,1x,180.0,S1_CapRR,routine,M_routine,800,True,1,678.2,314.0,0.0,0.537,1.0,mean_0.75,6,0.75,0.15,beta,none
City-A,T1,1x,180.0,S1_CapRR,cross_regime,M_stress,800,True,1,678.2,310.2,0.0,0.5426,1.0,mean_0.75,6,0.75,0.15,beta,none
City-A,T1,1x,180.0,S2_Platform,routine,M_routine,800,True,1,421.1,314.0,0.0,0.2544,1.0,mean_0.75,6,0.75,0.15,beta,none
City-A,T1,1x,180.0,S2_Platform,cross_regime,M_stress,800,True,1,421.1,310.2,0.0,0.2634,1.0,mean_0.75,6,0.75,0.15,beta,none
City-A,T1,1x,180.0,S3_Lin4,routine,M_routine,800,True,1,555.3,314.0,0.0,0.4346,1.0,mean_0.75,6,0.75,0.15,beta,none
City-A,T1,1x,180.0,S3_Lin4,cross_regime,M_stress,800,True,1,555.3,310.2,0.0,0.4414,1.0,mean_0.75,6,0.75,0.15,beta,none
City-A,T1,1x,180.0,S4_GlobalCalib,routine,M_routine,800,True,1,512.6,314.0,0.0,0.3875,1.0,mean_0.75,6,0.75,0.15,beta,none
City-A,T1,1x,180.0,S4_GlobalCalib,cross_regime,M_stress,800,True,1,512.6,310.2,0.0,0.3948,1.0,mean_0.75,6,0.75,0.15,beta,none
City-A,T1,1x,180.0,S5_CityCalib,routine,M_routine,800,True,1,509.6,314.0,0.0,0.3839,1.0,mean_0.75,6,0.75,0.15,beta,none
City-A,T1,1x,180.0,S5_CityCalib,cross_regime,M_stress,800,True,1,509.6,310.2,0.0,0.3913,1.0,mean_0.75,6,0.75,0.15,beta,none
