config,city,task_id,req_type,req_level,p_req,strategy,regime,success,n_selected,p_commit,p_deliv,shortfall,ocr
A_corrected_base,City-A,T1,absolute,5x,900.0,S4_GlobalCalib,cross_regime,0.0,2,1287.767505901652,846.5478587536622,53.45214124633776,0.34262368410908334
A_corrected_base,City-A,T1,absolute,5x,900.0,S5_CityCalib,routine,1.0,2,1286.7440147520044,1282.0556680997352,0.0,0.0036435737011552096
A_corrected_base,City-A,T1,absolute,5x,900.0,S5_CityCalib,cross_regime,0.0,2,1286.7440147520044,846.5478587536622,53.45214124633776,0.34210079934444587
A_corrected_base,City-A,T1,absolute,5x,900.0,S6_Q10,routine,1.0,2,1273.2548495516376,1282.0556680997352,0.0,0.0
A_corrected_base,City-A,T1,absolute,5x,900.0,S6_Q10,cross_regime,0.0,2,1273.2548495516376,846.5478587536622,53.45214124633776,0.3351308584830723
A_corrected_base,City-A,T1,absolute,10x,1800.0,S0a_RoutineOracle,routine,1.0,3,1880.4041088550885,1880.4041088550885,0.0,0.0
A_corrected_base,City-A,T1,absolute,10x,1800.0,S0a_RoutineOracle,cross_regime,0.0,3,1880.4041088550885,1236.475287539312,563.5247124606881,0.3424417221188918
A_corrected_base,City-A,T1,absolute,10x,1800.0,S0b_StressOracle,routine,1.0,5,1989.4301894956218,3003.6369351624326,0.0,0.0
A_corrected_base,City-A,T1,absolute,10x,1800.0,S0b_StressOracle,cross_regime,1.0,5,1989.4301894956218,1989.4301894956218,0.0,0.0
A_corrected_base,City-A,T1,absolute,10x,1800.0,S1_CapRR,routine,1.0,3,1889.6612019999998,1880.4041088550885,0.0,0.004898811032958555
A_corrected_base,City-A,T1,absolute,10x,1800.0,S1_CapRR,cross_regime,0.0,3,1889.6612019999998,1236.475287539312,563.5247124606881,0.34566297586538897
A_corrected_base,City-A,T1,absolute,10x,1800.0,S2_Platform,routine,1.0,5,1914.484,2851.931158251179,0.0,0.0
A_corrected_base,City-A,T1,absolute,10x,1800.0,S2_Platform,cross_regime,1.0,5,1914.484,1890.5959741909182,0.0,0.012477527004185819
A_corrected_base,City-A,T1,absolute,10x,1800.0,S3_Lin4,routine,0.0,3,1871.7314204372076,1794.3360700545645,5.663929945435484,0.041349602585911985
A_corrected_base,City-A,T1,absolute,10x,1800.0,S3_Lin4,cross_regime,0.0,3,1871.7314204372076,1180.154299919255,619.845700080745,0.3694852332801096
A_corrected_base,City-A,T1,absolute,10x,1800.0,S4_GlobalCalib,routine,1.0,3,1881.5185315805147,1880.4041088550885,0.0,0.0005922996275195481
A_corrected_base,City-A,T1,absolute,10x,1800.0,S4_GlobalCalib,cross_regime,0.0,3,1881.5185315805147,1236.475287539312,563.5247124606881,0.34283119364195314
