city,task_id,p_req_level,p_req,strategy,regime,eval_outcome,pool_size,pool_feasible,n_selected,p_commit,p_deliv,shortfall,ocr,success
City-A,T1,10x,1800.0,S1_CapRR,routine,M_routine,800,True,3,1889.7,931.7,868.3,0.5069,0.0
City-A,T1,10x,1800.0,S1_CapRR,cross_regime,M_stress,800,True,3,1889.7,711.8,1088.2,0.6233,0.0
City-A,T1,10x,1800.0,S2_Platform,routine,M_routine,800,True,5,1914.5,1652.6,147.4,0.1368,0.0
City-A,T1,10x,1800.0,S2_Platform,cross_regime,M_stress,800,True,5,1914.5,1274.5,525.5,0.3343,0.0
City-A,T1,10x,1800.0,S3_Lin4,routine,M_routine,800,True,8,1915.9,2337.2,0.0,0.0,1.0
City-A,T1,10x,1800.0,S3_Lin4,cross_regime,M_stress,800,True,8,1915.9,1813.3,0.0,0.0535,1.0
City-A,T1,10x,1800.0,S4_GlobalCalib,routine,M_routine,800,True,7,1826.6,2267.8,0.0,0.0,1.0
City-A,T1,10x,1800.0,S4_GlobalCalib,cross_regime,M_stress,800,True,7,1826.6,1765.9,34.1,0.0333,0.0
City-A,T1,10x,1800.0,S5_CityCalib,routine,M_routine,800,True,8,1858.3,2538.9,0.0,0.0,1.0
City-A,T1,10x,1800.0,S5_CityCalib,cross_regime,M_stress,800,True,8,1858.3,1961.4,0.0,0.0,1.0
City-A,T1,10x,1800.0,S6_Q10,routine,M_routine,800,True,18,1848.6,5141.2,0.0,0.0,1.0
City-A,T1,10x,1800.0,S6_Q10,cross_regime,M_stress,800,True,18,1848.6,3940.2,0.0,0.0,1.0
City-A,T2,1x,260.0,S0a_RoutineOracle,routine,M_routine,800,True,1,289.7,289.7,0.0,0.0,1.0
City-A,T2,1x,260.0,S0a_RoutineOracle,cross_regime,M_stress,800,True,1,289.7,206.3,53.7,0.2879,0.0
City-A,T2,1x,260.0,S0b_StressOracle,routine,M_routine,800,True,2,434.4,571.1,0.0,0.0,1.0
City-A,T2,1x,260.0,S0b_StressOracle,cross_regime,M_stress,800,True,2,434.4,434.4,0.0,0.0,1.0
City-A,T2,1x,260.0,S1_CapRR,routine,M_routine,800,True,1,678.2,165.4,94.6,0.7561,0.0
City-A,T2,1x,260.0,S1_CapRR,cross_regime,M_stress,800,True,1,678.2,94.5,165.5,0.8607,0.0
City-A,T2,1x,260.0,S2_Platform,routine,M_routine,800,True,1,441.1,165.4,94.6,0.625,0.0
City-A,T2,1x,260.0,S2_Platform,cross_regime,M_stress,800,True,1,441.1,94.5,165.5,0.7858,0.0
City-A,T2,1x,260.0,S3_Lin4,routine,M_routine,800,True,1,312.8,165.4,94.6,0.4712,0.0
City-A,T2,1x,260.0,S3_Lin4,cross_regime,M_stress,800,True,1,312.8,94.5,165.5,0.6979,0.0
City-A,T2,1x,260.0,S4_GlobalCalib,routine,M_routine,800,True,1,327.8,165.4,94.6,0.4955,0.0
City-A,T2,1x,260.0,S4_GlobalCalib,cross_regime,M_stress,800,True,1,327.8,94.5,165.5,0.7118,0.0
City-A,T2,1x,260.0,S5_CityCalib,routine,M_routine,800,True,1,304.6,165.4,94.6,0.4569,0.0
City-A,T2,1x,260.0,S5_CityCalib,cross_regime,M_stress,800,True,1,304.6,94.5,165.5,0.6898,0.0
City-A,T2,1x,260.0,S6_Q10,routine,M_routine,800,True,2,272.0,444.9,0.0,0.0,1.0
City-A,T2,1x,260.0,S6_Q10,cross_regime,M_stress,800,True,2,272.0,281.9,0.0,0.0,1.0
City-A,T2,2x,520.0,S0a_RoutineOracle,routine,M_routine,800,True,2,578.1,578.1,0.0,0.0,1.0
City-A,T2,2x,520.0,S0a_RoutineOracle,cross_regime,M_stress,800,True,2,578.1,428.5,91.5,0.2589,0.0
City-A,T2,2x,520.0,S0b_StressOracle,routine,M_routine,800,True,3,646.1,855.7,0.0,0.0,1.0
City-A,T2,2x,520.0,S0b_StressOracle,cross_regime,M_stress,800,True,3,646.1,646.1,0.0,0.0,1.0
City-A,T2,2x,520.0,S1_CapRR,routine,M_routine,800,True,1,678.2,165.4,354.6,0.7561,0.0
City-A,T2,2x,520.0,S1_CapRR,cross_regime,M_stress,800,True,1,678.2,94.5,425.5,0.8607,0.0
