regime,p_req_level,strategy,tsr_pct_pooled,tsr_mean_across_seeds_pct,tsr_std_across_seeds_pct,tsr_min_across_seeds_pct,tsr_max_across_seeds_pct,n_success_cells,n_total_cells,n_seeds,wilson95_low_pct,wilson95_high_pct,mean_ocr,mean_shortfall_kw,mean_n_selected
routine,1x,S0a_RoutineOracle,100.0,100.0,0.0,100.0,100.0,450,450,30,99.15356811370295,100.0,0.0,0.0,1.0
routine,1x,S0b_StressOracle,98.22222222222223,98.22222222222223,2.9985096340586934,93.33333333333333,100.0,442,450,30,96.53162746674741,99.09648044735721,0.03493688888888889,0.9766666666666668,1.0
routine,1x,S1_CapRR,99.55555555555556,99.55555555555556,1.6913875446830842,93.33333333333333,100.0,448,450,30,98.39417049521096,99.87803256859239,0.3401322222222223,0.11066666666666666,1.0
routine,1x,S2_Platform,99.33333333333333,99.33333333333333,2.0341905108624325,93.33333333333333,100.0,447,450,30,98.05850110884364,99.77301943000991,0.09890533333333333,0.21400000000000002,1.0
routine,1x,S3_Lin4,99.11111111111111,99.11111111111111,2.304972690945071,93.33333333333333,100.0,446,450,30,97.73703705412115,99.65380095978263,0.09153622222222221,0.5448888888888889,1.0
routine,1x,S4_GlobalCalib,99.55555555555556,99.55555555555556,1.6913875446830842,93.33333333333333,100.0,448,450,30,98.39417049521096,99.87803256859239,0.09118222222222222,0.11066666666666666,1.0
routine,1x,S5_CityCalib,99.55555555555556,99.55555555555556,1.6913875446830842,93.33333333333333,100.0,448,450,30,98.39417049521096,99.87803256859239,0.09114111111111112,0.11066666666666666,1.0
routine,1x,S6_Q10,99.55555555555556,99.55555555555556,1.6913875446830842,93.33333333333333,100.0,448,450,30,98.39417049521096,99.87803256859239,0.013434888888888889,0.11066666666666666,1.0
routine,2x,S0a_RoutineOracle,100.0,100.0,0.0,100.0,100.0,450,450,30,99.15356811370295,100.0,0.0,0.0,1.0822222222222222
routine,2x,S0b_StressOracle,94.88888888888889,94.88888888888891,5.159029084851113,80.0,100.0,427,450,30,92.44751437063996,96.57035566921779,0.025356444444444442,2.9008888888888884,1.5333333333333334
routine,2x,S1_CapRR,76.66666666666667,76.66666666666667,10.019138773490074,60.0,93.33333333333333,345,450,30,72.54317350128218,80.33872949269272,0.3401322222222223,19.566000000000003,1.0
routine,2x,S2_Platform,83.55555555555556,83.55555555555556,8.88122274784318,66.66666666666666,100.0,376,450,30,79.84941823498836,86.69364303243007,0.09396822222222222,10.724222222222222,1.1333333333333333
routine,2x,S3_Lin4,88.0,87.99999999999997,7.509891306333945,73.33333333333333,100.0,396,450,30,84.67140133463732,90.6853104317769,0.08188000000000001,7.858888888888889,1.2022222222222223
routine,2x,S4_GlobalCalib,89.33333333333333,89.33333333333333,8.858184517732264,73.33333333333333,100.0,402,450,30,86.14096335580058,91.8598435603124,0.084844,5.070222222222222,1.1933333333333334
routine,2x,S5_CityCalib,88.66666666666667,88.66666666666667,9.452441959823474,73.33333333333333,100.0,399,450,30,85.40461958585735,91.27413975540625,0.0852331111111111,5.830444444444444,1.1755555555555555
routine,2x,S6_Q10,97.77777777777777,97.77777777777777,3.644481823936894,86.66666666666667,100.0,440,450,30,95.95820178352567,98.78854108067935,0.008397333333333335,1.0919999999999999,1.6666666666666667
routine,5x,S0a_RoutineOracle,100.0,100.0,0.0,100.0,100.0,450,450,30,99.15356811370295,100.0,0.0,0.0,2.2933333333333334
routine,5x,S0b_StressOracle,99.11111111111111,99.11111111111111,2.3049726909450707,93.33333333333333,100.0,446,450,30,97.73703705412115,99.65380095978263,0.0044622222222222225,0.5562222222222223,3.38
routine,5x,S1_CapRR,42.888888888888886,42.8888888888889,8.520128672302585,20.0,60.0,193,450,30,38.395356153013964,47.50280304859273,0.339604,113.48244444444444,1.9333333333333333
routine,5x,S2_Platform,77.11111111111111,77.1111111111111,8.520128672302587,60.0,93.33333333333333,347,450,30,73.00967353274895,80.75359451112553,0.07911133333333333,26.97977777777778,2.533333333333333
routine,5x,S3_Lin4,89.77777777777777,89.77777777777777,6.488028074955043,80.0,100.0,404,450,30,86.63371940023316,92.24845256577939,0.04435866666666667,9.92488888888889,2.7244444444444444
routine,5x,S4_GlobalCalib,87.33333333333333,87.33333333333331,7.701320979389587,60.0,100.0,393,450,30,83.94108854165239,90.09357564991247,0.05986444444444444,10.830444444444446,2.597777777777778
routine,5x,S5_CityCalib,86.8888888888889,86.88888888888887,7.923645844800147,60.0,100.0,391,450,30,83.45573159071085,89.69756755095443,0.05991,10.952444444444446,2.591111111111111
routine,5x,S6_Q10,99.55555555555556,99.55555555555556,1.6913875446830844,93.33333333333333,100.0,448,450,30,98.39417049521096,99.87803256859239,0.0005933333333333334,0.2111111111111111,3.56
routine,10x,S0a_RoutineOracle,100.0,100.0,0.0,100.0,100.0,450,450,30,99.15356811370295,100.0,0.0,0.0,4.38
routine,10x,S0b_StressOracle,100.0,100.0,0.0,100.0,100.0,450,450,30,99.15356811370295,100.0,0.0006442222222222222,0.0,6.8244444444444445
routine,10x,S1_CapRR,4.888888888888889,4.888888888888888,4.931199704293782,0.0,20.0,22,450,30,3.2504263112890355,7.2910211239034295,0.33162222222222226,419.3691111111111,3.2666666666666666
routine,10x,S2_Platform,68.0,67.99999999999999,8.995528902176071,40.0,80.0,306,450,30,63.55327726356421,72.14200725736886,0.067754,62.12577777777778,5.0
routine,10x,S3_Lin4,85.33333333333334,85.33333333333333,6.870448685064144,66.66666666666666,100.0,384,450,30,81.7657733590627,88.30274810795403,0.03509977777777778,20.349777777777778,5.137777777777778
routine,10x,S4_GlobalCalib,85.33333333333334,85.33333333333334,5.911220579172476,73.33333333333333,100.0,384,450,30,81.7657733590627,88.30274810795403,0.04115155555555556,24.936222222222224,4.993333333333333
routine,10x,S5_CityCalib,83.77777777777777,83.77777777777779,6.235071571105432,73.33333333333333,100.0,377,450,30,80.08815716126202,86.89558663110618,0.04176933333333333,27.56577777777778,4.96
routine,10x,S6_Q10,100.0,100.0,0.0,100.0,100.0,450,450,30,99.15356811370295,100.0,0.0,0.0,7.046666666666667
cross_regime,1x,S0a_RoutineOracle,88.44444444444444,88.44444444444441,7.8165426960408375,66.66666666666666,100.0,398,450,30,85.15987772277063,91.0781990935432,0.4695888888888889,4.757777777777778,1.0
cross_regime,1x,S0b_StressOracle,100.0,100.0,0.0,100.0,100.0,450,450,30,99.15356811370295,100.0,0.0,0.0,1.0
cross_regime,1x,S1_CapRR,91.33333333333333,91.33333333333334,6.814453874610597,80.0,100.0,411,450,30,88.37150629083051,93.59544334983059,0.5620833333333334,3.4362222222222227,1.0
cross_regime,1x,S2_Platform,90.44444444444444,90.44444444444444,6.708679877296341,80.0,100.0,407,450,30,87.3758569424795,92.82836259838244,0.34739733333333334,3.42,1.0
cross_regime,1x,S3_Lin4,92.22222222222223,92.22222222222224,5.276517292512785,80.0,100.0,415,450,30,89.37505228514753,94.35462745531272,0.31082377777777775,2.9419999999999997,1.0
cross_regime,1x,S4_GlobalCalib,91.33333333333333,91.33333333333334,6.814453874610597,80.0,100.0,411,450,30,88.37150629083051,93.59544334983059,0.3426631111111111,3.4362222222222227,1.0
cross_regime,1x,S5_CityCalib,91.33333333333333,91.33333333333334,6.814453874610597,80.0,100.0,411,450,30,88.37150629083051,93.59544334983059,0.3428704444444444,3.4362222222222227,1.0
cross_regime,1x,S6_Q10,91.33333333333333,91.33333333333334,6.814453874610597,80.0,100.0,411,450,30,88.37150629083051,93.59544334983059,0.112794,3.4362222222222227,1.0
cross_regime,2x,S0a_RoutineOracle,28.444444444444443,28.444444444444443,11.865573155522982,6.666666666666667,46.666666666666664,128,450,30,24.47223648837536,32.78155859149494,0.47129333333333334,81.53266666666666,1.0822222222222222
cross_regime,2x,S0b_StressOracle,100.0,100.0,0.0,100.0,100.0,450,450,30,99.15356811370295,100.0,0.0,0.0,1.5333333333333334
cross_regime,2x,S1_CapRR,31.77777777777778,31.77777777777778,9.043671538232863,13.333333333333334,53.333333333333336,143,450,30,27.645524335432597,36.21850861868456,0.5620833333333334,81.51177777777778,1.0
cross_regime,2x,S2_Platform,36.44444444444444,36.44444444444445,9.052140718991502,20.0,66.66666666666666,164,450,30,32.1298921456199,40.988473832442864,0.348254,62.187999999999995,1.1333333333333333
cross_regime,2x,S3_Lin4,44.44444444444444,44.44444444444444,11.657084187294895,20.0,73.33333333333333,200,450,30,39.91962373340965,49.06331314284557,0.31288822222222223,46.19533333333334,1.2022222222222223
cross_regime,2x,S4_GlobalCalib,46.88888888888889,46.8888888888889,10.860781613996394,26.666666666666668,73.33333333333333,211,450,30,42.3239736541804,51.50647099652254,0.3443962222222222,48.17266666666667,1.1933333333333334
cross_regime,2x,S5_CityCalib,45.33333333333333,45.33333333333334,10.562711831061835,26.666666666666668,73.33333333333333,204,450,30,40.79265626826708,49.95301070778731,0.34390244444444446,50.65622222222222,1.1755555555555555
cross_regime,2x,S6_Q10,83.55555555555556,83.55555555555557,8.88122274784318,66.66666666666666,100.0,376,450,30,79.84941823498836,86.69364303243007,0.10053688888888888,8.611777777777778,1.6666666666666667
cross_regime,5x,S0a_RoutineOracle,3.5555555555555554,3.555555555555556,4.542969249740399,0.0,20.0,16,450,30,2.2002272067677757,5.697125078725944,0.45963288888888887,305.1442222222222,2.2933333333333334
cross_regime,5x,S0b_StressOracle,100.0,100.0,0.0,100.0,100.0,450,450,30,99.15356811370295,100.0,0.0,0.0,3.38
