city,task_id,p_req_level,p_req,strategy,regime,eval_outcome,pool_size,pool_feasible,n_selected,p_commit,p_deliv,shortfall,ocr,success,config_name,seed_id,xi_mean,xi_std,xi_dist,xi_persistence
City-A,T1,1x,180.0,S0a_RoutineOracle,routine,M_routine,800,True,1,578.8,578.8,0.0,0.0,1.0,mean_0.75,9,0.75,0.15,beta,none
City-A,T1,1x,180.0,S0a_RoutineOracle,cross_regime,M_stress,800,True,1,578.8,312.9,0.0,0.4594,1.0,mean_0.75,9,0.75,0.15,beta,none
City-A,T1,1x,180.0,S0b_StressOracle,routine,M_routine,800,True,1,332.0,366.7,0.0,0.0,1.0,mean_0.75,9,0.75,0.15,beta,none
City-A,T1,1x,180.0,S0b_StressOracle,cross_regime,M_stress,800,True,1,332.0,332.0,0.0,0.0,1.0,mean_0.75,9,0.75,0.15,beta,none
City-A,T1,1x,180.0,S1_CapRR,routine,M_routine,800,True,1,678.2,507.8,0.0,0.2512,1.0,mean_0.75,9,0.75,0.15,beta,none
City-A,T1,1x,180.0,S1_CapRR,cross_regime,M_stress,800,True,1,678.2,151.9,28.1,0.776,0.0,mean_0.75,9,0.75,0.15,beta,none
City-A,T1,1x,180.0,S2_Platform,routine,M_routine,800,True,1,421.1,507.8,0.0,0.0,1.0,mean_0.75,9,0.75,0.15,beta,none
City-A,T1,1x,180.0,S2_Platform,cross_regime,M_stress,800,True,1,421.1,151.9,28.1,0.6392,0.0,mean_0.75,9,0.75,0.15,beta,none
City-A,T1,1x,180.0,S3_Lin4,routine,M_routine,800,True,1,545.9,507.8,0.0,0.0697,1.0,mean_0.75,9,0.75,0.15,beta,none
City-A,T1,1x,180.0,S3_Lin4,cross_regime,M_stress,800,True,1,545.9,151.9,28.1,0.7217,0.0,mean_0.75,9,0.75,0.15,beta,none
City-A,T1,1x,180.0,S4_GlobalCalib,routine,M_routine,800,True,1,504.7,507.8,0.0,0.0,1.0,mean_0.75,9,0.75,0.15,beta,none
City-A,T1,1x,180.0,S4_GlobalCalib,cross_regime,M_stress,800,True,1,504.7,151.9,28.1,0.699,0.0,mean_0.75,9,0.75,0.15,beta,none
City-A,T1,1x,180.0,S5_CityCalib,routine,M_routine,800,True,1,509.8,507.8,0.0,0.0039,1.0,mean_0.75,9,0.75,0.15,beta,none
City-A,T1,1x,180.0,S5_CityCalib,cross_regime,M_stress,800,True,1,509.8,151.9,28.1,0.702,0.0,mean_0.75,9,0.75,0.15,beta,none
City-A,T1,1x,180.0,S6_Q10,routine,M_routine,800,True,1,363.3,507.8,0.0,0.0,1.0,mean_0.75,9,0.75,0.15,beta,none
City-A,T1,1x,180.0,S6_Q10,cross_regime,M_stress,800,True,1,363.3,151.9,28.1,0.5818,0.0,mean_0.75,9,0.75,0.15,beta,none
City-A,T1,2x,360.0,S0a_RoutineOracle,routine,M_routine,800,True,1,578.8,578.8,0.0,0.0,1.0,mean_0.75,9,0.75,0.15,beta,none
City-A,T1,2x,360.0,S0a_RoutineOracle,cross_regime,M_stress,800,True,1,578.8,312.9,47.1,0.4594,0.0,mean_0.75,9,0.75,0.15,beta,none
City-A,T1,2x,360.0,S0b_StressOracle,routine,M_routine,800,True,2,656.1,705.0,0.0,0.0,1.0,mean_0.75,9,0.75,0.15,beta,none
City-A,T1,2x,360.0,S0b_StressOracle,cross_regime,M_stress,800,True,2,656.1,656.1,0.0,0.0,1.0,mean_0.75,9,0.75,0.15,beta,none
City-A,T1,2x,360.0,S1_CapRR,routine,M_routine,800,True,1,678.2,507.8,0.0,0.2512,1.0,mean_0.75,9,0.75,0.15,beta,none
City-A,T1,2x,360.0,S1_CapRR,cross_regime,M_stress,800,True,1,678.2,151.9,208.1,0.776,0.0,mean_0.75,9,0.75,0.15,beta,none
City-A,T1,2x,360.0,S2_Platform,routine,M_routine,800,True,1,421.1,507.8,0.0,0.0,1.0,mean_0.75,9,0.75,0.15,beta,none
City-A,T1,2x,360.0,S2_Platform,cross_regime,M_stress,800,True,1,421.1,151.9,208.1,0.6392,0.0,mean_0.75,9,0.75,0.15,beta,none
City-A,T1,2x,360.0,S3_Lin4,routine,M_routine,800,True,1,545.9,507.8,0.0,0.0697,1.0,mean_0.75,9,0.75,0.15,beta,none
City-A,T1,2x,360.0,S3_Lin4,cross_regime,M_stress,800,True,1,545.9,151.9,208.1,0.7217,0.0,mean_0.75,9,0.75,0.15,beta,none
City-A,T1,2x,360.0,S4_GlobalCalib,routine,M_routine,800,True,1,504.7,507.8,0.0,0.0,1.0,mean_0.75,9,0.75,0.15,beta,none
City-A,T1,2x,360.0,S4_GlobalCalib,cross_regime,M_stress,800,True,1,504.7,151.9,208.1,0.699,0.0,mean_0.75,9,0.75,0.15,beta,none
City-A,T1,2x,360.0,S5_CityCalib,routine,M_routine,800,True,1,509.8,507.8,0.0,0.0039,1.0,mean_0.75,9,0.75,0.15,beta,none
City-A,T1,2x,360.0,S5_CityCalib,cross_regime,M_stress,800,True,1,509.8,151.9,208.1,0.702,0.0,mean_0.75,9,0.75,0.15,beta,none
City-A,T1,2x,360.0,S6_Q10,routine,M_routine,800,True,1,363.3,507.8,0.0,0.0,1.0,mean_0.75,9,0.75,0.15,beta,none
City-A,T1,2x,360.0,S6_Q10,cross_regime,M_stress,800,True,1,363.3,151.9,208.1,0.5818,0.0,mean_0.75,9,0.75,0.15,beta,none
City-A,T1,5x,900.0,S0a_RoutineOracle,routine,M_routine,800,True,2,1086.6,1086.6,0.0,0.0,1.0,mean_0.75,9,0.75,0.15,beta,none
City-A,T1,5x,900.0,S0a_RoutineOracle,cross_regime,M_stress,800,True,2,1086.6,464.9,435.1,0.5722,0.0,mean_0.75,9,0.75,0.15,beta,none
