stress_config,s_new,K_active,severity,scope,city,task_id,p_req_level,strategy,success,n_selected,p_commit,p_deliv,shortfall,ocr,seed_id
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-B,T2,5x,S0b_StressOracle_new,1.0,3,1324.5081775285855,1324.5081775285855,0.0,0.0,0
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-B,T2,5x,S1_CapRR,0.0,2,1687.96367,844.1653242740249,455.8346757259751,0.49989129548385075,0
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-B,T2,5x,S4_GlobalCalib,0.0,3,1674.5145189137904,1279.0846076511111,20.915392348888872,0.236146003391588,0
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-B,T2,5x,S6_Q10,1.0,4,1512.4695853044211,1541.11164405646,0.0,0.0,0
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-B,T3,5x,S0a_RoutineOracle,0.0,2,1110.7145044715753,511.79489639136955,488.20510360863045,0.5392201197238736,0
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-B,T3,5x,S0b_StressOracle_new,1.0,3,1315.61639563078,1315.61639563078,0.0,0.0,0
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-B,T3,5x,S1_CapRR,0.0,2,1485.4080295999997,836.6535958517602,163.3464041482398,0.4367516674343953,0
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-B,T3,5x,S4_GlobalCalib,1.0,3,1465.0546692675325,1219.7919359674365,0.0,0.1674085878465664,0
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-B,T3,5x,S6_Q10,1.0,4,1315.7707500622837,1634.9270033322637,0.0,0.0,0
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-B,T4,5x,S0a_RoutineOracle,0.0,1,778.9451229654401,510.519881616883,189.48011838311697,0.3446009653756654,0
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-B,T4,5x,S0b_StressOracle_new,1.0,2,1014.0000407112085,1014.0000407112085,0.0,0.0,0
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-B,T4,5x,S1_CapRR,0.0,1,846.0108700000001,360.80088425455585,339.19911574544415,0.5735268930355991,0
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-B,T4,5x,S4_GlobalCalib,1.0,2,1126.869508903886,871.3207658714389,0.0,0.22677758250910637,0
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-B,T4,5x,S6_Q10,1.0,2,772.8743624692863,871.3207658714389,0.0,0.0,0
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-B,T5,5x,S0a_RoutineOracle,0.0,2,1149.8828385916308,539.2219393256817,260.77806067431834,0.5310635821070978,0
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-B,T5,5x,S0b_StressOracle_new,1.0,2,876.9681795658342,876.9681795658342,0.0,0.0,0
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-B,T5,5x,S1_CapRR,1.0,2,1485.4080295999997,808.643054775431,0.0,0.45560880333117115,0
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-B,T5,5x,S4_GlobalCalib,1.0,2,983.9514484925735,808.643054775431,0.0,0.178167727671642,0
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-B,T5,5x,S6_Q10,1.0,3,1003.3148079980749,1193.788973362396,0.0,0.0,0
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-C,T1,5x,S0a_RoutineOracle,0.0,2,1047.1239940153869,795.2091600707681,104.79083992923188,0.24057784501585683,0
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-C,T1,5x,S0b_StressOracle_new,1.0,3,1217.1582809047934,1217.1582809047934,0.0,0.0,0
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-C,T1,5x,S1_CapRR,0.0,2,1439.5386200000003,820.2256036673114,79.77439633268864,0.4302163260702855,0
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-C,T1,5x,S4_GlobalCalib,0.0,2,955.1063155536654,820.2256036673114,79.77439633268864,0.14122062611235592,0
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-C,T1,5x,S6_Q10,1.0,3,945.9809574790236,1217.1582809047934,0.0,0.0,0
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-C,T2,5x,S0a_RoutineOracle,0.0,3,1747.2699258400075,1050.729057945387,249.270942054613,0.3986452565763447,0
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-C,T2,5x,S0b_StressOracle_new,1.0,4,1439.7026080477967,1439.7026080477967,0.0,0.0,0
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-C,T2,5x,S1_CapRR,0.0,2,1439.5386200000003,697.5089900427839,602.4910099572161,0.5154635100774276,0
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-C,T2,5x,S4_GlobalCalib,0.0,3,1391.024256177358,1050.729057945387,249.270942054613,0.24463642292416124,0
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-C,T2,5x,S6_Q10,1.0,5,1486.1270434678243,1500.2913912419112,0.0,0.0,0
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-C,T3,5x,S0a_RoutineOracle,0.0,3,1312.674407506343,527.9059733215787,472.0940266784213,0.5978393649614687,0
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-C,T3,5x,S0b_StressOracle_new,1.0,3,1017.1716681646602,1017.1716681646602,0.0,0.0,0
K1_sev1.0_sco0.5,-0.275,1,1.0,0.5,City-C,T3,5x,S1_CapRR,0.0,2,1266.8365755,490.1931163701341,509.8068836298659,0.6130573383732131,0
