city,task_id,p_req_level,p_req,strategy,regime,eval_outcome,pool_size,pool_feasible,n_selected,p_commit,p_deliv,shortfall,ocr,success
City-A,T1,10x,1800.0,S1_CapRR,routine,M_routine,800,True,3,1889.7,1880.4,0.0,0.0049,1.0
City-A,T1,10x,1800.0,S1_CapRR,cross_regime,M_stress,800,True,3,1889.7,1236.5,563.5,0.3457,0.0
City-A,T1,10x,1800.0,S2_Platform,routine,M_routine,800,True,5,1914.5,2851.9,0.0,0.0,1.0
City-A,T1,10x,1800.0,S2_Platform,cross_regime,M_stress,800,True,5,1914.5,1890.6,0.0,0.0125,1.0
City-A,T1,10x,1800.0,S3_Lin4,routine,M_routine,800,True,3,1871.7,1794.3,5.7,0.0413,0.0
City-A,T1,10x,1800.0,S3_Lin4,cross_regime,M_stress,800,True,3,1871.7,1180.2,619.8,0.3695,0.0
City-A,T1,10x,1800.0,S4_GlobalCalib,routine,M_routine,800,True,3,1881.5,1880.4,0.0,0.0006,1.0
City-A,T1,10x,1800.0,S4_GlobalCalib,cross_regime,M_stress,800,True,3,1881.5,1236.5,563.5,0.3428,0.0
City-A,T1,10x,1800.0,S5_CityCalib,routine,M_routine,800,True,3,1880.0,1880.4,0.0,0.0,1.0
City-A,T1,10x,1800.0,S5_CityCalib,cross_regime,M_stress,800,True,3,1880.0,1236.5,563.5,0.3423,0.0
City-A,T1,10x,1800.0,S6_Q10,routine,M_routine,800,True,3,1860.3,1880.4,0.0,0.0,1.0
City-A,T1,10x,1800.0,S6_Q10,cross_regime,M_stress,800,True,3,1860.3,1236.5,563.5,0.3353,0.0
City-A,T2,1x,260.0,S0a_RoutineOracle,routine,M_routine,800,True,1,670.2,670.2,0.0,0.0,1.0
City-A,T2,1x,260.0,S0a_RoutineOracle,cross_regime,M_stress,800,True,1,670.2,437.7,0.0,0.3469,1.0
City-A,T2,1x,260.0,S0b_StressOracle,routine,M_routine,800,True,1,437.7,670.2,0.0,0.0,1.0
City-A,T2,1x,260.0,S0b_StressOracle,cross_regime,M_stress,800,True,1,437.7,437.7,0.0,0.0,1.0
City-A,T2,1x,260.0,S1_CapRR,routine,M_routine,800,True,1,678.2,670.2,0.0,0.0117,1.0
City-A,T2,1x,260.0,S1_CapRR,cross_regime,M_stress,800,True,1,678.2,437.7,0.0,0.3546,1.0
City-A,T2,1x,260.0,S2_Platform,routine,M_routine,800,True,1,441.1,670.2,0.0,0.0,1.0
City-A,T2,1x,260.0,S2_Platform,cross_regime,M_stress,800,True,1,441.1,437.7,0.0,0.0077,1.0
City-A,T2,1x,260.0,S3_Lin4,routine,M_routine,800,True,1,727.1,670.2,0.0,0.0783,1.0
City-A,T2,1x,260.0,S3_Lin4,cross_regime,M_stress,800,True,1,727.1,437.7,0.0,0.398,1.0
City-A,T2,1x,260.0,S4_GlobalCalib,routine,M_routine,800,True,1,675.1,670.2,0.0,0.0072,1.0
City-A,T2,1x,260.0,S4_GlobalCalib,cross_regime,M_stress,800,True,1,675.1,437.7,0.0,0.3517,1.0
City-A,T2,1x,260.0,S5_CityCalib,routine,M_routine,800,True,1,677.7,670.2,0.0,0.0111,1.0
City-A,T2,1x,260.0,S5_CityCalib,cross_regime,M_stress,800,True,1,677.7,437.7,0.0,0.3542,1.0
City-A,T2,1x,260.0,S6_Q10,routine,M_routine,800,True,1,666.9,670.2,0.0,0.0,1.0
City-A,T2,1x,260.0,S6_Q10,cross_regime,M_stress,800,True,1,666.9,437.7,0.0,0.3437,1.0
City-A,T2,2x,520.0,S0a_RoutineOracle,routine,M_routine,800,True,1,670.2,670.2,0.0,0.0,1.0
City-A,T2,2x,520.0,S0a_RoutineOracle,cross_regime,M_stress,800,True,1,670.2,437.7,82.3,0.3469,0.0
City-A,T2,2x,520.0,S0b_StressOracle,routine,M_routine,800,True,2,834.8,1278.6,0.0,0.0,1.0
City-A,T2,2x,520.0,S0b_StressOracle,cross_regime,M_stress,800,True,2,834.8,834.8,0.0,0.0,1.0
City-A,T2,2x,520.0,S1_CapRR,routine,M_routine,800,True,1,678.2,670.2,0.0,0.0117,1.0
City-A,T2,2x,520.0,S1_CapRR,cross_regime,M_stress,800,True,1,678.2,437.7,82.3,0.3546,0.0
City-A,T2,2x,520.0,S2_Platform,routine,M_routine,800,True,2,849.9,1278.6,0.0,0.0,1.0
City-A,T2,2x,520.0,S2_Platform,cross_regime,M_stress,800,True,2,849.9,834.8,0.0,0.0178,1.0
City-A,T2,2x,520.0,S3_Lin4,routine,M_routine,800,True,1,727.1,670.2,0.0,0.0783,1.0
