city,task_id,p_req_level,p_req,strategy,regime,eval_outcome,pool_size,pool_feasible,n_selected,p_commit,p_deliv,shortfall,ocr,success,config_name,seed_id,xi_mean,xi_std,xi_dist,xi_persistence
City-A,T1,1x,180.0,S0a_RoutineOracle,routine,M_routine,800,True,1,673.8,673.8,0.0,0.0,1.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T1,1x,180.0,S0a_RoutineOracle,cross_regime,M_stress,800,True,1,673.8,337.2,0.0,0.4995,1.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T1,1x,180.0,S0b_StressOracle,routine,M_routine,800,True,1,337.2,673.8,0.0,0.0,1.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T1,1x,180.0,S0b_StressOracle,cross_regime,M_stress,800,True,1,337.2,337.2,0.0,0.0,1.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T1,1x,180.0,S1_CapRR,routine,M_routine,800,True,1,678.2,673.8,0.0,0.0065,1.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T1,1x,180.0,S1_CapRR,cross_regime,M_stress,800,True,1,678.2,337.2,0.0,0.5028,1.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T1,1x,180.0,S2_Platform,routine,M_routine,800,True,1,421.1,673.8,0.0,0.0,1.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T1,1x,180.0,S2_Platform,cross_regime,M_stress,800,True,1,421.1,337.2,0.0,0.1992,1.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T1,1x,180.0,S3_Lin4,routine,M_routine,800,True,1,593.2,673.8,0.0,0.0,1.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T1,1x,180.0,S3_Lin4,cross_regime,M_stress,800,True,1,593.2,337.2,0.0,0.4316,1.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T1,1x,180.0,S4_GlobalCalib,routine,M_routine,800,True,1,544.4,673.8,0.0,0.0,1.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T1,1x,180.0,S4_GlobalCalib,cross_regime,M_stress,800,True,1,544.4,337.2,0.0,0.3806,1.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T1,1x,180.0,S5_CityCalib,routine,M_routine,800,True,1,555.2,673.8,0.0,0.0,1.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T1,1x,180.0,S5_CityCalib,cross_regime,M_stress,800,True,1,555.2,337.2,0.0,0.3926,1.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T1,1x,180.0,S6_Q10,routine,M_routine,800,True,1,393.3,673.8,0.0,0.0,1.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T1,1x,180.0,S6_Q10,cross_regime,M_stress,800,True,1,393.3,337.2,0.0,0.1427,1.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T1,2x,360.0,S0a_RoutineOracle,routine,M_routine,800,True,1,673.8,673.8,0.0,0.0,1.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T1,2x,360.0,S0a_RoutineOracle,cross_regime,M_stress,800,True,1,673.8,337.2,22.8,0.4995,0.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T1,2x,360.0,S0b_StressOracle,routine,M_routine,800,True,2,658.8,1221.0,0.0,0.0,1.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T1,2x,360.0,S0b_StressOracle,cross_regime,M_stress,800,True,2,658.8,658.8,0.0,0.0,1.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T1,2x,360.0,S1_CapRR,routine,M_routine,800,True,1,678.2,673.8,0.0,0.0065,1.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T1,2x,360.0,S1_CapRR,cross_regime,M_stress,800,True,1,678.2,337.2,22.8,0.5028,0.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T1,2x,360.0,S2_Platform,routine,M_routine,800,True,1,421.1,673.8,0.0,0.0,1.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T1,2x,360.0,S2_Platform,cross_regime,M_stress,800,True,1,421.1,337.2,22.8,0.1992,0.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T1,2x,360.0,S3_Lin4,routine,M_routine,800,True,1,593.2,673.8,0.0,0.0,1.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T1,2x,360.0,S3_Lin4,cross_regime,M_stress,800,True,1,593.2,337.2,22.8,0.4316,0.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T1,2x,360.0,S4_GlobalCalib,routine,M_routine,800,True,1,544.4,673.8,0.0,0.0,1.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T1,2x,360.0,S4_GlobalCalib,cross_regime,M_stress,800,True,1,544.4,337.2,22.8,0.3806,0.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T1,2x,360.0,S5_CityCalib,routine,M_routine,800,True,1,555.2,673.8,0.0,0.0,1.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T1,2x,360.0,S5_CityCalib,cross_regime,M_stress,800,True,1,555.2,337.2,22.8,0.3926,0.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T1,2x,360.0,S6_Q10,routine,M_routine,800,True,1,393.3,673.8,0.0,0.0,1.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T1,2x,360.0,S6_Q10,cross_regime,M_stress,800,True,1,393.3,337.2,22.8,0.1427,0.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T1,5x,900.0,S0a_RoutineOracle,routine,M_routine,800,True,2,1221.0,1221.0,0.0,0.0,1.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T1,5x,900.0,S0a_RoutineOracle,cross_regime,M_stress,800,True,2,1221.0,658.8,241.2,0.4604,0.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T1,5x,900.0,S0b_StressOracle,routine,M_routine,800,True,3,970.2,1532.4,0.0,0.0,1.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T1,5x,900.0,S0b_StressOracle,cross_regime,M_stress,800,True,3,970.2,970.2,0.0,0.0,1.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T1,5x,900.0,S1_CapRR,routine,M_routine,800,True,2,1293.4,1147.2,0.0,0.113,1.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T1,5x,900.0,S1_CapRR,cross_regime,M_stress,800,True,2,1293.4,629.5,270.5,0.5133,0.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T1,5x,900.0,S2_Platform,routine,M_routine,800,True,3,1202.1,1623.1,0.0,0.0,1.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T1,5x,900.0,S2_Platform,cross_regime,M_stress,800,True,3,1202.1,899.4,0.6,0.2518,0.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T1,5x,900.0,S3_Lin4,routine,M_routine,800,True,2,1059.9,1204.6,0.0,0.0,1.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T1,5x,900.0,S3_Lin4,cross_regime,M_stress,800,True,2,1059.9,609.0,291.0,0.4254,0.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T1,5x,900.0,S4_GlobalCalib,routine,M_routine,800,True,2,1038.1,1147.2,0.0,0.0,1.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T1,5x,900.0,S4_GlobalCalib,cross_regime,M_stress,800,True,2,1038.1,629.5,270.5,0.3936,0.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T1,5x,900.0,S5_CityCalib,routine,M_routine,800,True,2,1058.4,1147.2,0.0,0.0,1.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T1,5x,900.0,S5_CityCalib,cross_regime,M_stress,800,True,2,1058.4,629.5,270.5,0.4053,0.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T1,5x,900.0,S6_Q10,routine,M_routine,800,True,3,1096.0,1678.0,0.0,0.0,1.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T1,5x,900.0,S6_Q10,cross_regime,M_stress,800,True,3,1096.0,901.3,0.0,0.1776,1.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T1,10x,1800.0,S0a_RoutineOracle,routine,M_routine,800,True,4,2227.7,2227.7,0.0,0.0,1.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T1,10x,1800.0,S0a_RoutineOracle,cross_regime,M_stress,800,True,4,2227.7,1200.5,599.5,0.4611,0.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T1,10x,1800.0,S0b_StressOracle,routine,M_routine,800,True,6,1884.0,2571.2,0.0,0.0,1.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T1,10x,1800.0,S0b_StressOracle,cross_regime,M_stress,800,True,6,1884.0,1884.0,0.0,0.0,1.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T1,10x,1800.0,S1_CapRR,routine,M_routine,800,True,3,1889.7,1678.0,122.0,0.112,0.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T1,10x,1800.0,S1_CapRR,cross_regime,M_stress,800,True,3,1889.7,901.3,898.7,0.523,0.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T1,10x,1800.0,S2_Platform,routine,M_routine,800,True,5,1914.5,2481.8,0.0,0.0,1.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T1,10x,1800.0,S2_Platform,cross_regime,M_stress,800,True,5,1914.5,1532.3,267.7,0.1996,0.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T1,10x,1800.0,S3_Lin4,routine,M_routine,800,True,4,1956.1,2043.2,0.0,0.0,1.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T1,10x,1800.0,S3_Lin4,cross_regime,M_stress,800,True,4,1956.1,1175.1,624.9,0.3992,0.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T1,10x,1800.0,S4_GlobalCalib,routine,M_routine,800,True,4,1984.1,1994.4,0.0,0.0,1.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T1,10x,1800.0,S4_GlobalCalib,cross_regime,M_stress,800,True,4,1984.1,1183.4,616.6,0.4036,0.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T1,10x,1800.0,S5_CityCalib,routine,M_routine,800,True,4,2022.2,1994.4,0.0,0.0138,1.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T1,10x,1800.0,S5_CityCalib,cross_regime,M_stress,800,True,4,2022.2,1183.4,616.6,0.4148,0.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T1,10x,1800.0,S6_Q10,routine,M_routine,800,True,6,2068.5,2906.7,0.0,0.0,1.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T1,10x,1800.0,S6_Q10,cross_regime,M_stress,800,True,6,2068.5,1778.8,21.2,0.1401,0.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T2,1x,260.0,S0a_RoutineOracle,routine,M_routine,800,True,1,571.2,571.2,0.0,0.0,1.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T2,1x,260.0,S0a_RoutineOracle,cross_regime,M_stress,800,True,1,571.2,246.9,13.1,0.5678,0.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T2,1x,260.0,S0b_StressOracle,routine,M_routine,800,True,1,371.4,515.9,0.0,0.0,1.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T2,1x,260.0,S0b_StressOracle,cross_regime,M_stress,800,True,1,371.4,371.4,0.0,0.0,1.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T2,1x,260.0,S1_CapRR,routine,M_routine,800,True,1,678.2,568.1,0.0,0.1623,1.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T2,1x,260.0,S1_CapRR,cross_regime,M_stress,800,True,1,678.2,364.7,0.0,0.4622,1.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T2,1x,260.0,S2_Platform,routine,M_routine,800,True,1,441.1,568.1,0.0,0.0,1.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T2,1x,260.0,S2_Platform,cross_regime,M_stress,800,True,1,441.1,364.7,0.0,0.1731,1.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T2,1x,260.0,S3_Lin4,routine,M_routine,800,True,1,591.1,568.1,0.0,0.039,1.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T2,1x,260.0,S3_Lin4,cross_regime,M_stress,800,True,1,591.1,364.7,0.0,0.383,1.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T2,1x,260.0,S4_GlobalCalib,routine,M_routine,800,True,1,547.6,568.1,0.0,0.0,1.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T2,1x,260.0,S4_GlobalCalib,cross_regime,M_stress,800,True,1,547.6,364.7,0.0,0.3339,1.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T2,1x,260.0,S5_CityCalib,routine,M_routine,800,True,1,550.9,568.1,0.0,0.0,1.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T2,1x,260.0,S5_CityCalib,cross_regime,M_stress,800,True,1,550.9,364.7,0.0,0.338,1.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T2,1x,260.0,S6_Q10,routine,M_routine,800,True,1,396.0,568.1,0.0,0.0,1.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T2,1x,260.0,S6_Q10,cross_regime,M_stress,800,True,1,396.0,364.7,0.0,0.0788,1.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T2,2x,520.0,S0a_RoutineOracle,routine,M_routine,800,True,1,571.2,571.2,0.0,0.0,1.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T2,2x,520.0,S0a_RoutineOracle,cross_regime,M_stress,800,True,1,571.2,246.9,273.1,0.5678,0.0,mean_0.8,6,0.8,0.15,beta,none
City-A,T2,2x,520.0,S0b_StressOracle,routine,M_routine,800,True,2,736.1,1083.9,0.0,0.0,1.0,mean_0.8,6,0.8,0.15,beta,none
