config_name,seed_id,mean,std,dist,persistence,tsr_routine_5x_S0a_RoutineOracle,ocr_routine_5x_S0a_RoutineOracle,nsel_routine_5x_S0a_RoutineOracle,tsr_routine_5x_S1_CapRR,ocr_routine_5x_S1_CapRR,nsel_routine_5x_S1_CapRR,tsr_routine_5x_S3_Lin4,ocr_routine_5x_S3_Lin4,nsel_routine_5x_S3_Lin4,tsr_routine_5x_S4_GlobalCalib,ocr_routine_5x_S4_GlobalCalib,nsel_routine_5x_S4_GlobalCalib,tsr_routine_5x_S6_Q10,ocr_routine_5x_S6_Q10,nsel_routine_5x_S6_Q10,tsr_routine_10x_S0a_RoutineOracle,ocr_routine_10x_S0a_RoutineOracle,nsel_routine_10x_S0a_RoutineOracle,tsr_routine_10x_S1_CapRR,ocr_routine_10x_S1_CapRR,nsel_routine_10x_S1_CapRR,tsr_routine_10x_S3_Lin4,ocr_routine_10x_S3_Lin4,nsel_routine_10x_S3_Lin4,tsr_routine_10x_S4_GlobalCalib,ocr_routine_10x_S4_GlobalCalib,nsel_routine_10x_S4_GlobalCalib,tsr_routine_10x_S6_Q10,ocr_routine_10x_S6_Q10,nsel_routine_10x_S6_Q10,tsr_cross_regime_5x_S0a_RoutineOracle,ocr_cross_regime_5x_S0a_RoutineOracle,nsel_cross_regime_5x_S0a_RoutineOracle,tsr_cross_regime_5x_S1_CapRR,ocr_cross_regime_5x_S1_CapRR,nsel_cross_regime_5x_S1_CapRR,tsr_cross_regime_5x_S3_Lin4,ocr_cross_regime_5x_S3_Lin4,nsel_cross_regime_5x_S3_Lin4,tsr_cross_regime_5x_S4_GlobalCalib,ocr_cross_regime_5x_S4_GlobalCalib,nsel_cross_regime_5x_S4_GlobalCalib,tsr_cross_regime_5x_S6_Q10,ocr_cross_regime_5x_S6_Q10,nsel_cross_regime_5x_S6_Q10,tsr_cross_regime_10x_S0a_RoutineOracle,ocr_cross_regime_10x_S0a_RoutineOracle,nsel_cross_regime_10x_S0a_RoutineOracle,tsr_cross_regime_10x_S1_CapRR,ocr_cross_regime_10x_S1_CapRR,nsel_cross_regime_10x_S1_CapRR,tsr_cross_regime_10x_S3_Lin4,ocr_cross_regime_10x_S3_Lin4,nsel_cross_regime_10x_S3_Lin4,tsr_cross_regime_10x_S4_GlobalCalib,ocr_cross_regime_10x_S4_GlobalCalib,nsel_cross_regime_10x_S4_GlobalCalib,tsr_cross_regime_10x_S6_Q10,ocr_cross_regime_10x_S6_Q10,nsel_cross_regime_10x_S6_Q10,M_routine_mean,rho_lin4,rho_caprr
mean_0.58,0,0.58,0.15,beta,none,100.0,0.0,2.6666666666666665,13.333333333333334,0.44282000000000005,1.9333333333333333,86.66666666666667,0.035146666666666666,3.066666666666667,86.66666666666667,0.052873333333333335,2.8666666666666667,100.0,0.0,4.333333333333333,100.0,0.0,5.066666666666666,0.0,0.4205466666666667,3.2666666666666666,93.33333333333333,0.03186,6.133333333333334,60.0,0.041053333333333324,5.533333333333333,100.0,0.0,8.933333333333334,6.666666666666667,0.43844000000000005,2.6666666666666665,0.0,0.60956,1.9333333333333333,26.666666666666668,0.2786733333333334,3.066666666666667,6.666666666666667,0.32197333333333333,2.8666666666666667,86.66666666666667,0.030873333333333332,4.333333333333333,0.0,0.44864000000000004,5.066666666666666,0.0,0.61796,3.2666666666666666,0.0,0.3031466666666667,6.133333333333334,0.0,0.3294066666666667,5.533333333333333,80.0,0.01856,8.933333333333334,116.25,0.863,0.863
mean_0.58,1,0.58,0.15,beta,none,100.0,0.0,2.533333333333333,13.333333333333334,0.48174666666666666,1.9333333333333333,80.0,0.07444,3.0,73.33333333333333,0.07670666666666667,2.8666666666666667,100.0,0.0,4.2,100.0,0.0,5.2,0.0,0.45863999999999994,3.2666666666666666,80.0,0.05044666666666667,6.066666666666666,53.333333333333336,0.05995333333333333,5.6,100.0,0.0,8.866666666666667,0.0,0.4659466666666667,2.533333333333333,0.0,0.6272133333333334,1.9333333333333333,13.333333333333334,0.35960000000000003,3.0,6.666666666666667,0.34694,2.8666666666666667,66.66666666666666,0.05821333333333334,4.2,0.0,0.45987999999999996,5.2,0.0,0.62998,3.2666666666666666,0.0,0.31081999999999993,6.066666666666666,0.0,0.33628666666666657,5.6,60.0,0.039139999999999994,8.866666666666667,116.78,0.864,0.864
mean_0.58,2,0.58,0.15,beta,none,100.0,0.0,2.533333333333333,13.333333333333334,0.4255933333333333,1.9333333333333333,66.66666666666666,0.07466666666666666,3.0,66.66666666666666,0.09207333333333333,2.8666666666666667,100.0,0.0,4.133333333333334,100.0,0.0,5.0,0.0,0.4346333333333333,3.2666666666666666,93.33333333333333,0.045206666666666666,6.066666666666666,66.66666666666666,0.05859333333333334,5.466666666666667,100.0,0.0,8.8,6.666666666666667,0.4747466666666667,2.533333333333333,0.0,0.634,1.9333333333333333,6.666666666666667,0.31438666666666665,3.0,6.666666666666667,0.35962666666666665,2.8666666666666667,66.66666666666666,0.0382,4.133333333333334,0.0,0.4572600000000001,5.0,0.0,0.6224333333333334,3.2666666666666666,0.0,0.32192000000000004,6.066666666666666,0.0,0.3348333333333333,5.466666666666667,73.33333333333333,0.026033333333333332,8.8,117.32,0.865,0.865
mean_0.58,3,0.58,0.15,beta,none,100.0,0.0,2.6,6.666666666666667,0.43102,1.9333333333333333,80.0,0.031466666666666664,3.0,73.33333333333333,0.05912666666666667,2.8666666666666667,100.0,0.0,4.133333333333334,100.0,0.0,5.133333333333334,0.0,0.4264866666666666,3.2666666666666666,86.66666666666667,0.02458,6.066666666666666,60.0,0.04821333333333333,5.466666666666667,100.0,0.0,8.8,0.0,0.4935933333333334,2.6,0.0,0.6204733333333333,1.9333333333333333,6.666666666666667,0.37041999999999997,3.0,6.666666666666667,0.33628,2.8666666666666667,73.33333333333333,0.03888,4.133333333333334,0.0,0.4907333333333333,5.133333333333334,0.0,0.6255333333333334,3.2666666666666666,0.0,0.32678666666666667,6.066666666666666,0.0,0.3488,5.466666666666667,60.0,0.04484,8.8,117.28,0.864,0.864
mean_0.58,4,0.58,0.15,beta,none,100.0,0.0,2.533333333333333,26.666666666666668,0.38587999999999995,1.9333333333333333,80.0,0.059253333333333345,3.0,80.0,0.04404666666666667,2.8666666666666667,100.0,0.0,4.133333333333334,100.0,0.0,5.066666666666666,0.0,0.39909333333333336,3.2666666666666666,80.0,0.03996666666666667,6.066666666666666,66.66666666666666,0.05536666666666667,5.466666666666667,100.0,0.0,8.8,0.0,0.48190000000000005,2.533333333333333,0.0,0.6455600000000001,1.9333333333333333,13.333333333333334,0.34351999999999994,3.0,6.666666666666667,0.3639200000000001,2.8666666666666667,66.66666666666666,0.07582666666666665,4.133333333333334,0.0,0.48442,5.066666666666666,0.0,0.6335200000000001,3.2666666666666666,0.0,0.33038000000000006,6.066666666666666,0.0,0.3792466666666666,5.466666666666667,80.0,0.03942,8.8,117.55,0.867,0.867
mean_0.58,5,0.58,0.15,beta,none,100.0,0.0,2.533333333333333,6.666666666666667,0.48060666666666657,1.9333333333333333,86.66666666666667,0.06007333333333333,3.0,60.0,0.10232666666666665,2.8666666666666667,100.0,0.0,4.133333333333334,100.0,0.0,5.133333333333334,0.0,0.4662333333333334,3.2666666666666666,86.66666666666667,0.04107333333333332,6.066666666666666,53.333333333333336,0.06211333333333334,5.466666666666667,100.0,0.0,8.733333333333333,0.0,0.4516733333333333,2.533333333333333,0.0,0.6310133333333333,1.9333333333333333,13.333333333333334,0.32495999999999997,3.0,13.333333333333334,0.36834666666666666,2.8666666666666667,80.0,0.06494666666666667,4.133333333333334,0.0,0.4552666666666667,5.133333333333334,0.0,0.6294933333333332,3.2666666666666666,0.0,0.32299333333333335,6.066666666666666,0.0,0.3508866666666667,5.466666666666667,66.66666666666666,0.037733333333333334,8.733333333333333,117.64,0.866,0.866
mean_0.58,6,0.58,0.15,beta,none,100.0,0.0,2.6,26.666666666666668,0.40668666666666664,1.9333333333333333,86.66666666666667,0.04818666666666667,3.0,86.66666666666667,0.06970666666666667,2.8666666666666667,100.0,0.0,4.133333333333334,100.0,0.0,5.0,0.0,0.4201333333333333,3.2666666666666666,93.33333333333333,0.027526666666666668,6.066666666666666,80.0,0.03863333333333333,5.466666666666667,100.0,0.0,8.8,0.0,0.4986066666666667,2.6,0.0,0.6009066666666667,1.9333333333333333,6.666666666666667,0.31182666666666664,3.0,6.666666666666667,0.29906,2.8666666666666667,86.66666666666667,0.021926666666666667,4.133333333333334,0.0,0.4548866666666667,5.0,0.0,0.5985333333333334,3.2666666666666666,0.0,0.28817999999999994,6.066666666666666,0.0,0.32176,5.466666666666667,80.0,0.015380000000000001,8.8,117.06,0.865,0.865
mean_0.58,7,0.58,0.15,beta,none,100.0,0.0,2.6,13.333333333333334,0.4473866666666667,1.9333333333333333,80.0,0.05054666666666666,3.0,73.33333333333333,0.06898666666666667,2.8666666666666667,100.0,0.0,4.133333333333334,100.0,0.0,5.066666666666666,0.0,0.40752,3.2666666666666666,73.33333333333333,0.046560000000000004,6.0,66.66666666666666,0.05012666666666667,5.466666666666667,100.0,0.0,8.8,0.0,0.4340133333333334,2.6,0.0,0.63374,1.9333333333333333,20.0,0.28848,3.0,6.666666666666667,0.36719333333333337,2.8666666666666667,53.333333333333336,0.06455999999999999,4.133333333333334,0.0,0.4423666666666666,5.066666666666666,0.0,0.62594,3.2666666666666666,6.666666666666667,0.3169066666666667,6.0,0.0,0.3482199999999999,5.466666666666667,73.33333333333333,0.03772,8.8,117.41,0.864,0.864
mean_0.58,8,0.58,0.15,beta,none,100.0,0.0,2.6,33.33333333333333,0.41864666666666667,1.9333333333333333,86.66666666666667,0.029526666666666663,3.0,73.33333333333333,0.06044666666666666,2.8666666666666667,100.0,0.0,4.133333333333334,100.0,0.0,5.133333333333334,0.0,0.42052,3.2666666666666666,86.66666666666667,0.027693333333333334,6.0,66.66666666666666,0.06069999999999999,5.466666666666667,100.0,0.0,8.8,0.0,0.48522666666666664,2.6,0.0,0.634,1.9333333333333333,13.333333333333334,0.32883333333333326,3.0,6.666666666666667,0.3334666666666666,2.8666666666666667,53.333333333333336,0.051859999999999996,4.133333333333334,0.0,0.48258666666666666,5.133333333333334,0.0,0.6246266666666667,3.2666666666666666,0.0,0.31001333333333336,6.0,0.0,0.34815333333333337,5.466666666666667,53.333333333333336,0.02876,8.8,116.93,0.861,0.861
mean_0.58,9,0.58,0.15,beta,none,100.0,0.0,2.4,6.666666666666667,0.50072,1.9333333333333333,86.66666666666667,0.06712666666666665,3.0,60.0,0.13485333333333335,2.8666666666666667,100.0,0.0,4.2,100.0,0.0,5.0,0.0,0.47144000000000014,3.2666666666666666,80.0,0.042519999999999995,6.066666666666666,53.333333333333336,0.07198666666666667,5.466666666666667,100.0,0.0,8.8,0.0,0.5013599999999999,2.4,0.0,0.6468866666666667,1.9333333333333333,33.33333333333333,0.28834666666666664,3.0,13.333333333333334,0.3291066666666667,2.8666666666666667,73.33333333333333,0.04636,4.2,0.0,0.4906666666666667,5.0,0.0,0.6237466666666668,3.2666666666666666,13.333333333333334,0.27918,6.066666666666666,0.0,0.3457933333333333,5.466666666666667,73.33333333333333,0.02064,8.8,117.18,0.866,0.866
