city,task_id,p_req_level,p_req,strategy,regime,eval_outcome,pool_size,pool_feasible,n_selected,p_commit,p_deliv,shortfall,ocr,success,seed_id,master_seed
City-A,T1,1x,180.0,S0a_RoutineOracle,routine,M_routine,800,True,1,435.5,435.5,0.0,0.0,1.0,5,5000002048
City-A,T1,1x,180.0,S0a_RoutineOracle,cross_regime,M_stress,800,True,1,435.5,204.6,0.0,0.5302,1.0,5,5000002048
City-A,T1,1x,180.0,S0b_StressOracle,routine,M_routine,800,True,1,311.1,419.9,0.0,0.0,1.0,5,5000002048
City-A,T1,1x,180.0,S0b_StressOracle,cross_regime,M_stress,800,True,1,311.1,311.1,0.0,0.0,1.0,5,5000002048
City-A,T1,1x,180.0,S1_CapRR,routine,M_routine,800,True,1,678.2,421.8,0.0,0.378,1.0,5,5000002048
City-A,T1,1x,180.0,S1_CapRR,cross_regime,M_stress,800,True,1,678.2,184.7,0.0,0.7276,1.0,5,5000002048
City-A,T1,1x,180.0,S2_Platform,routine,M_routine,800,True,1,421.1,421.8,0.0,0.0,1.0,5,5000002048
City-A,T1,1x,180.0,S2_Platform,cross_regime,M_stress,800,True,1,421.1,184.7,0.0,0.5613,1.0,5,5000002048
City-A,T1,1x,180.0,S3_Lin4,routine,M_routine,800,True,1,493.4,421.8,0.0,0.1451,1.0,5,5000002048
City-A,T1,1x,180.0,S3_Lin4,cross_regime,M_stress,800,True,1,493.4,184.7,0.0,0.6256,1.0,5,5000002048
City-A,T1,1x,180.0,S4_GlobalCalib,routine,M_routine,800,True,1,456.2,421.8,0.0,0.0754,1.0,5,5000002048
City-A,T1,1x,180.0,S4_GlobalCalib,cross_regime,M_stress,800,True,1,456.2,184.7,0.0,0.5951,1.0,5,5000002048
City-A,T1,1x,180.0,S5_CityCalib,routine,M_routine,800,True,1,453.0,421.8,0.0,0.0688,1.0,5,5000002048
City-A,T1,1x,180.0,S5_CityCalib,cross_regime,M_stress,800,True,1,453.0,184.7,0.0,0.5922,1.0,5,5000002048
City-A,T1,1x,180.0,S6_Q10,routine,M_routine,800,True,1,312.5,421.8,0.0,0.0,1.0,5,5000002048
City-A,T1,1x,180.0,S6_Q10,cross_regime,M_stress,800,True,1,312.5,184.7,0.0,0.4089,1.0,5,5000002048
City-A,T1,2x,360.0,S0a_RoutineOracle,routine,M_routine,800,True,1,435.5,435.5,0.0,0.0,1.0,5,5000002048
City-A,T1,2x,360.0,S0a_RoutineOracle,cross_regime,M_stress,800,True,1,435.5,204.6,155.4,0.5302,0.0,5,5000002048
City-A,T1,2x,360.0,S0b_StressOracle,routine,M_routine,800,True,2,584.1,819.3,0.0,0.0,1.0,5,5000002048
City-A,T1,2x,360.0,S0b_StressOracle,cross_regime,M_stress,800,True,2,584.1,584.1,0.0,0.0,1.0,5,5000002048
City-A,T1,2x,360.0,S1_CapRR,routine,M_routine,800,True,1,678.2,421.8,0.0,0.378,1.0,5,5000002048
City-A,T1,2x,360.0,S1_CapRR,cross_regime,M_stress,800,True,1,678.2,184.7,175.3,0.7276,0.0,5,5000002048
City-A,T1,2x,360.0,S2_Platform,routine,M_routine,800,True,1,421.1,421.8,0.0,0.0,1.0,5,5000002048
City-A,T1,2x,360.0,S2_Platform,cross_regime,M_stress,800,True,1,421.1,184.7,175.3,0.5613,0.0,5,5000002048
City-A,T1,2x,360.0,S3_Lin4,routine,M_routine,800,True,1,493.4,421.8,0.0,0.1451,1.0,5,5000002048
City-A,T1,2x,360.0,S3_Lin4,cross_regime,M_stress,800,True,1,493.4,184.7,175.3,0.6256,0.0,5,5000002048
