city,task_id,p_req_level,p_req,strategy,regime,eval_outcome,pool_size,pool_feasible,n_selected,p_commit,p_deliv,shortfall,ocr,success,config_name,seed_id,xi_mean,xi_std,xi_dist,xi_persistence
City-A,T1,1x,180.0,S0a_RoutineOracle,routine,M_routine,800,True,1,431.1,431.1,0.0,0.0,1.0,persistence_half,3,0.67,0.15,beta,half
City-A,T1,1x,180.0,S0a_RoutineOracle,cross_regime,M_stress,800,True,1,431.1,286.8,0.0,0.3347,1.0,persistence_half,3,0.67,0.15,beta,half
City-A,T1,1x,180.0,S0b_StressOracle,routine,M_routine,800,True,1,286.8,431.1,0.0,0.0,1.0,persistence_half,3,0.67,0.15,beta,half
City-A,T1,1x,180.0,S0b_StressOracle,cross_regime,M_stress,800,True,1,286.8,286.8,0.0,0.0,1.0,persistence_half,3,0.67,0.15,beta,half
City-A,T1,1x,180.0,S1_CapRR,routine,M_routine,800,True,1,678.2,431.1,0.0,0.3644,1.0,persistence_half,3,0.67,0.15,beta,half
City-A,T1,1x,180.0,S1_CapRR,cross_regime,M_stress,800,True,1,678.2,286.8,0.0,0.5771,1.0,persistence_half,3,0.67,0.15,beta,half
City-A,T1,1x,180.0,S2_Platform,routine,M_routine,800,True,1,421.1,431.1,0.0,0.0,1.0,persistence_half,3,0.67,0.15,beta,half
City-A,T1,1x,180.0,S2_Platform,cross_regime,M_stress,800,True,1,421.1,286.8,0.0,0.3189,1.0,persistence_half,3,0.67,0.15,beta,half
City-A,T1,1x,180.0,S3_Lin4,routine,M_routine,800,True,1,488.5,431.1,0.0,0.1176,1.0,persistence_half,3,0.67,0.15,beta,half
City-A,T1,1x,180.0,S3_Lin4,cross_regime,M_stress,800,True,1,488.5,286.8,0.0,0.4129,1.0,persistence_half,3,0.67,0.15,beta,half
City-A,T1,1x,180.0,S4_GlobalCalib,routine,M_routine,800,True,1,451.6,431.1,0.0,0.0455,1.0,persistence_half,3,0.67,0.15,beta,half
City-A,T1,1x,180.0,S4_GlobalCalib,cross_regime,M_stress,800,True,1,451.6,286.8,0.0,0.3649,1.0,persistence_half,3,0.67,0.15,beta,half
City-A,T1,1x,180.0,S5_CityCalib,routine,M_routine,800,True,1,451.4,431.1,0.0,0.0451,1.0,persistence_half,3,0.67,0.15,beta,half
City-A,T1,1x,180.0,S5_CityCalib,cross_regime,M_stress,800,True,1,451.4,286.8,0.0,0.3647,1.0,persistence_half,3,0.67,0.15,beta,half
City-A,T1,1x,180.0,S6_Q10,routine,M_routine,800,True,1,422.0,431.1,0.0,0.0,1.0,persistence_half,3,0.67,0.15,beta,half
City-A,T1,1x,180.0,S6_Q10,cross_regime,M_stress,800,True,1,422.0,286.8,0.0,0.3204,1.0,persistence_half,3,0.67,0.15,beta,half
City-A,T1,2x,360.0,S0a_RoutineOracle,routine,M_routine,800,True,1,431.1,431.1,0.0,0.0,1.0,persistence_half,3,0.67,0.15,beta,half
City-A,T1,2x,360.0,S0a_RoutineOracle,cross_regime,M_stress,800,True,1,431.1,286.8,73.2,0.3347,0.0,persistence_half,3,0.67,0.15,beta,half
City-A,T1,2x,360.0,S0b_StressOracle,routine,M_routine,800,True,2,563.3,826.6,0.0,0.0,1.0,persistence_half,3,0.67,0.15,beta,half
City-A,T1,2x,360.0,S0b_StressOracle,cross_regime,M_stress,800,True,2,563.3,563.3,0.0,0.0,1.0,persistence_half,3,0.67,0.15,beta,half
City-A,T1,2x,360.0,S1_CapRR,routine,M_routine,800,True,1,678.2,431.1,0.0,0.3644,1.0,persistence_half,3,0.67,0.15,beta,half
City-A,T1,2x,360.0,S1_CapRR,cross_regime,M_stress,800,True,1,678.2,286.8,73.2,0.5771,0.0,persistence_half,3,0.67,0.15,beta,half
