city,task_id,p_req_level,p_req,strategy,regime,pool_size,n_selected,p_commit,p_deliv,shortfall,ocr,success
City-A,T1,10x,1800.0,S5_CityCalib,routine,800,8,1995.0490673977988,2538.885,0.0,0.0,1.0
City-A,T1,10x,1800.0,S5_CityCalib,stress,800,8,1995.0490673977988,1676.257231160992,123.74276883900802,0.15979147653376585,0.0
City-A,T1,10x,1800.0,S6_Q10,routine,800,18,1858.3362116467142,5141.222000000001,0.0,0.0,1.0
City-A,T1,10x,1800.0,S6_Q10,stress,800,18,1858.3362116467142,3383.4856741684353,0.0,0.0,1.0
City-A,T2,1x,260.0,S0_Oracle,routine,800,1,289.666,289.666,0.0,0.0,1.0
City-A,T2,1x,260.0,S0_Oracle,stress,800,1,289.666,189.37487857942233,70.62512142057767,0.34623021487015276,0.0
City-A,T2,1x,260.0,S1_CapOnly,routine,800,1,678.17287,165.415,94.58500000000001,0.7560872642988505,0.0
City-A,T2,1x,260.0,S1_CapOnly,stress,800,1,678.17287,108.14332900725368,151.85667099274633,0.8405372231902263,0.0
City-A,T2,1x,260.0,S2_Platform,routine,800,1,441.11,165.415,94.58500000000001,0.6250028337602866,0.0
City-A,T2,1x,260.0,S2_Platform,stress,800,1,441.11,108.14332900725368,151.85667099274633,0.754838183203161,0.0
City-A,T2,1x,260.0,S3_Linear4,routine,800,1,303.20276158027036,165.415,94.58500000000001,0.4544409848450283,0.0
City-A,T2,1x,260.0,S3_Linear4,stress,800,1,303.20276158027036,108.14332900725368,151.85667099274633,0.6433299998864831,0.0
City-A,T2,1x,260.0,S4_GlobalCalib,routine,800,1,324.9831359259218,165.415,94.58500000000001,0.4910043577224097,0.0
City-A,T2,1x,260.0,S4_GlobalCalib,stress,800,1,324.9831359259218,108.14332900725368,151.85667099274633,0.6672340283161512,0.0
City-A,T2,1x,260.0,S5_CityCalib,routine,800,1,304.1322955827038,165.415,94.58500000000001,0.45610840281505693,0.0
City-A,T2,1x,260.0,S5_CityCalib,stress,800,1,304.1322955827038,108.14332900725368,151.85667099274633,0.6444201073744703,0.0
City-A,T2,1x,260.0,S6_Q10,routine,800,2,261.55783760879086,444.85900000000004,0.0,0.0,1.0
City-A,T2,1x,260.0,S6_Q10,stress,800,2,261.55783760879086,290.83537284307874,0.0,0.0,1.0
City-A,T2,2x,520.0,S0_Oracle,routine,800,2,578.111,578.111,0.0,0.0,1.0
City-A,T2,2x,520.0,S0_Oracle,stress,800,2,578.111,379.3242450831194,140.67575491688058,0.34385568673988315,0.0
City-A,T2,2x,520.0,S1_CapOnly,routine,800,1,678.17287,165.415,354.58500000000004,0.7560872642988505,0.0
City-A,T2,2x,520.0,S1_CapOnly,stress,800,1,678.17287,108.14332900725368,411.85667099274633,0.8405372231902263,0.0
City-A,T2,2x,520.0,S2_Platform,routine,800,2,849.902,444.85900000000004,75.14099999999996,0.47657612289416895,0.0
City-A,T2,2x,520.0,S2_Platform,stress,800,2,849.902,290.83537284307874,229.16462715692126,0.6578012843326893,0.0
City-A,T2,2x,520.0,S3_Linear4,routine,800,2,544.7999564873978,453.86,66.13999999999999,0.16692357516644077,0.0
City-A,T2,2x,520.0,S3_Linear4,stress,800,2,544.7999564873978,298.0926955109508,221.90730448904918,0.4528400893551719,0.0
City-A,T2,2x,520.0,S4_GlobalCalib,routine,800,2,625.2035496834428,444.85900000000004,75.14099999999996,0.28845733485479413,0.0
City-A,T2,2x,520.0,S4_GlobalCalib,stress,800,2,625.2035496834428,290.83537284307874,229.16462715692126,0.5348149046972999,0.0
City-A,T2,2x,520.0,S5_CityCalib,routine,800,2,585.3585216409983,444.85900000000004,75.14099999999996,0.24002302255226576,0.0
City-A,T2,2x,520.0,S5_CityCalib,stress,800,2,585.3585216409983,290.83537284307874,229.16462715692126,0.503150014750364,0.0
City-A,T2,2x,520.0,S6_Q10,routine,800,5,599.6815587363478,1274.8850000000002,0.0,0.0,1.0
City-A,T2,2x,520.0,S6_Q10,stress,800,5,599.6815587363478,833.4812925152653,0.0,0.0,1.0
City-A,T2,5x,1300.0,S0_Oracle,routine,800,5,1424.766,1424.766,0.0,0.0,1.0
City-A,T2,5x,1300.0,S0_Oracle,stress,800,5,1424.766,936.3107215032722,363.68927849672775,0.34283193064456047,0.0
City-A,T2,5x,1300.0,S1_CapOnly,routine,800,3,1889.6612019999998,687.311,612.689,0.6362781861253454,0.0
City-A,T2,5x,1300.0,S1_CapOnly,stress,800,3,1889.6612019999998,449.3431647873805,850.6568352126195,0.7622096678961288,0.0
City-A,T2,5x,1300.0,S2_Platform,routine,800,4,1596.471,990.3420000000001,309.6579999999999,0.3796680302993289,0.0
City-A,T2,5x,1300.0,S2_Platform,stress,800,4,1596.471,647.4556765450632,652.5443234549368,0.5944457014596174,0.0
City-A,T2,5x,1300.0,S3_Linear4,routine,800,6,1486.291337515986,1351.2060000000001,0.0,0.090887522591467,1.0
City-A,T2,5x,1300.0,S3_Linear4,stress,800,6,1486.291337515986,886.4692099858752,413.5307900141248,0.4035696854242477,0.0
City-A,T2,5x,1300.0,S4_GlobalCalib,routine,800,5,1428.032193273422,1274.8850000000002,25.11499999999978,0.10724351593388702,0.0
City-A,T2,5x,1300.0,S4_GlobalCalib,stress,800,5,1428.032193273422,833.4812925152653,466.5187074847347,0.4163427852388195,0.0
City-A,T2,5x,1300.0,S5_CityCalib,routine,800,5,1338.5398680188766,1274.8850000000002,25.11499999999978,0.047555451682653,0.0
City-A,T2,5x,1300.0,S5_CityCalib,stress,800,5,1338.5398680188766,833.4812925152653,466.5187074847347,0.37732053229847373,0.0
City-A,T2,5x,1300.0,S6_Q10,routine,800,12,1311.9099683757827,2946.125,0.0,0.0,1.0
City-A,T2,5x,1300.0,S6_Q10,stress,800,12,1311.9099683757827,1933.1237674390964,0.0,0.0,1.0
City-A,T2,10x,2600.0,S0_Oracle,routine,800,10,2748.0730000000003,2748.0730000000003,0.0,0.0,1.0
City-A,T2,10x,2600.0,S0_Oracle,stress,800,10,2748.0730000000003,1802.5794215799167,797.4205784200833,0.34405693677718296,0.0
City-A,T2,10x,2600.0,S1_CapOnly,routine,800,5,3037.3306979999998,1231.573,1368.427,0.5945212680295374,0.0
City-A,T2,10x,2600.0,S1_CapOnly,stress,800,5,3037.3306979999998,806.5379564136397,1793.4620435863603,0.7344583001960494,0.0
City-A,T2,10x,2600.0,S2_Platform,routine,800,7,2630.133,1770.1260000000002,829.8739999999998,0.32698232370758423,0.0
City-A,T2,10x,2600.0,S2_Platform,stress,800,7,2630.133,1157.254894672756,1442.745105327244,0.5600013783817183,0.0
City-A,T2,10x,2600.0,S3_Linear4,routine,800,12,2747.3373611604857,2693.693,0.0,0.019525946073774454,1.0
City-A,T2,10x,2600.0,S3_Linear4,stress,800,12,2747.3373611604857,1764.1466475154884,835.8533524845116,0.35787039755091954,0.0
City-A,T2,10x,2600.0,S4_GlobalCalib,routine,800,10,2642.9584744913764,2453.161,146.83899999999994,0.07181250720479135,0.0
City-A,T2,10x,2600.0,S4_GlobalCalib,stress,800,10,2642.9584744913764,1608.6442996818816,991.3557003181184,0.39134711528471633,0.0
City-A,T2,10x,2600.0,S5_CityCalib,routine,800,11,2702.221945088321,2698.183,0.0,0.0014946755560409028,1.0
City-A,T2,10x,2600.0,S5_CityCalib,stress,800,11,2702.221945088321,1771.0267793744317,828.9732206255683,0.3446035094957581,0.0
City-A,T2,10x,2600.0,S6_Q10,routine,800,27,2669.2036077563766,5876.262000000001,0.0,0.0,1.0
City-A,T2,10x,2600.0,S6_Q10,stress,800,27,2669.2036077563766,3860.328641066875,0.0,0.0,1.0
City-A,T3,1x,200.0,S0_Oracle,routine,800,1,325.109,325.109,0.0,0.0,1.0
City-A,T3,1x,200.0,S0_Oracle,stress,800,1,325.109,212.5464410737795,0.0,0.3462302148701527,1.0
City-A,T3,1x,200.0,S1_CapOnly,routine,800,1,596.7921256000001,159.12,40.879999999999995,0.733374498130275,0.0
City-A,T3,1x,200.0,S1_CapOnly,stress,800,1,596.7921256000001,104.0278482098613,95.9721517901387,0.8256883029324922,0.0
City-A,T3,1x,200.0,S2_Platform,routine,800,1,470.654,159.12,40.879999999999995,0.6619172470647227,0.0
City-A,T3,1x,200.0,S2_Platform,stress,800,1,470.654,104.0278482098613,95.9721517901387,0.7789717112573965,0.0
City-A,T3,1x,200.0,S3_Linear4,routine,800,1,295.4487061874675,159.12,40.879999999999995,0.46142935586580125,0.0
City-A,T3,1x,200.0,S3_Linear4,stress,800,1,295.4487061874675,104.0278482098613,95.9721517901387,0.6478987857071414,0.0
City-A,T3,1x,200.0,S4_GlobalCalib,routine,800,1,347.62036173640604,159.12,40.879999999999995,0.5422592646610911,0.0
City-A,T3,1x,200.0,S4_GlobalCalib,stress,800,1,347.62036173640604,104.0278482098613,95.9721517901387,0.7007429378123032,0.0
City-A,T3,1x,200.0,S5_CityCalib,routine,800,1,325.072233636703,159.12,40.879999999999995,0.5105087930154296,0.0
City-A,T3,1x,200.0,S5_CityCalib,stress,800,1,325.072233636703,104.0278482098613,95.9721517901387,0.6799854387867479,0.0
City-A,T3,1x,200.0,S6_Q10,routine,800,2,274.31933111289334,468.574,0.0,0.0,1.0
City-A,T3,1x,200.0,S6_Q10,stress,800,2,274.31933111289334,306.33952329743306,0.0,0.0,1.0
City-A,T3,2x,400.0,S0_Oracle,routine,800,2,634.563,634.563,0.0,0.0,1.0
City-A,T3,2x,400.0,S0_Oracle,stress,800,2,634.563,414.8581161613513,0.0,0.3462302148701527,1.0
City-A,T3,2x,400.0,S1_CapOnly,routine,800,1,596.7921256000001,159.12,240.88,0.733374498130275,0.0
City-A,T3,2x,400.0,S1_CapOnly,stress,800,1,596.7921256000001,104.0278482098613,295.9721517901387,0.8256883029324922,0.0
City-A,T3,2x,400.0,S2_Platform,routine,800,1,470.654,159.12,240.88,0.6619172470647227,0.0
City-A,T3,2x,400.0,S2_Platform,stress,800,1,470.654,104.0278482098613,295.9721517901387,0.7789717112573965,0.0
City-A,T3,2x,400.0,S3_Linear4,routine,800,2,524.9070629886824,484.229,0.0,0.07749574325990626,1.0
City-A,T3,2x,400.0,S3_Linear4,stress,800,2,524.9070629886824,316.57428928364084,83.42571071635916,0.3968945902896594,0.0
City-A,T3,2x,400.0,S4_GlobalCalib,routine,800,2,656.9764254850726,468.574,0.0,0.28677197259546616,1.0
City-A,T3,2x,400.0,S4_GlobalCalib,stress,800,2,656.9764254850726,306.33952329743306,93.66047670256694,0.5337130657751531,0.0
City-A,T3,2x,400.0,S5_CityCalib,routine,800,2,614.7491394072177,468.574,0.0,0.23778014483789206,1.0
City-A,T3,2x,400.0,S5_CityCalib,stress,800,2,614.7491394072177,306.33952329743306,93.66047670256694,0.5016836890689654,0.0
City-A,T3,2x,400.0,S6_Q10,routine,800,4,504.1194626139636,1095.732,0.0,0.0,1.0
City-A,T3,2x,400.0,S6_Q10,stress,800,4,504.1194626139636,716.5885957269105,0.0,0.0,1.0
City-A,T3,5x,1000.0,S0_Oracle,routine,800,4,1240.953,1240.953,0.0,0.0,1.0
City-A,T3,5x,1000.0,S0_Oracle,stress,800,4,1240.953,811.7031817468568,188.29681825314321,0.3459033647955589,0.0
City-A,T3,5x,1000.0,S1_CapOnly,routine,800,2,1138.1160166,374.587,625.413,0.6708709880746265,0.0
City-A,T3,5x,1000.0,S1_CapOnly,stress,800,2,1138.1160166,246.3359757119065,753.6640242880935,0.7835581152369607,0.0
City-A,T3,5x,1000.0,S2_Platform,routine,800,3,1264.78,770.623,229.37699999999995,0.3907058935150777,0.0
City-A,T3,5x,1000.0,S2_Platform,stress,800,3,1264.78,504.042154653131,495.957845346869,0.6014783957264259,0.0
City-A,T3,5x,1000.0,S3_Linear4,routine,800,5,1206.0611562083568,1311.199,0.0,0.0,1.0
City-A,T3,5x,1000.0,S3_Linear4,stress,800,5,1206.0611562083568,858.8967232289557,141.1032767710443,0.28784977543827445,0.0
City-A,T3,5x,1000.0,S4_GlobalCalib,routine,800,4,1203.1113574098738,1095.732,0.0,0.0892513870378933,1.0
City-A,T3,5x,1000.0,S4_GlobalCalib,stress,800,4,1203.1113574098738,716.5885957269105,283.4114042730895,0.40438714063042097,0.0
City-A,T3,5x,1000.0,S5_CityCalib,routine,800,4,1126.9674285947117,1095.732,0.0,0.02771635435254876,1.0
City-A,T3,5x,1000.0,S5_CityCalib,stress,800,4,1126.9674285947117,716.5885957269105,283.4114042730895,0.36414435985920995,0.0
City-A,T3,5x,1000.0,S6_Q10,routine,800,9,1040.2262132719843,1972.7640000000001,0.0,0.0,1.0
City-A,T3,5x,1000.0,S6_Q10,stress,800,9,1040.2262132719843,1291.581415181988,0.0,0.0,1.0
City-A,T3,10x,2000.0,S0_Oracle,routine,800,7,2034.5459999999998,2034.5459999999998,0.0,0.0,1.0
City-A,T3,10x,2000.0,S0_Oracle,stress,800,7,2034.5459999999998,1330.5303068374078,669.4696931625922,0.3460308556123047,0.0
City-A,T3,10x,2000.0,S1_CapOnly,routine,800,4,2175.3372921,1001.7449999999999,998.2550000000001,0.5394989992411946,0.0
City-A,T3,10x,2000.0,S1_CapOnly,stress,800,4,2175.3372921,656.5850481413839,1343.414951858616,0.6981686239987464,0.0
City-A,T3,10x,2000.0,S2_Platform,routine,800,6,2357.866,1431.267,568.733,0.3929820439329461,0.0
City-A,T3,10x,2000.0,S2_Platform,stress,800,6,2357.866,937.3935537899262,1062.606446210074,0.6024398529051583,0.0
City-A,T3,10x,2000.0,S3_Linear4,routine,800,9,2035.8512760452716,2092.163,0.0,0.0,1.0
City-A,T3,10x,2000.0,S3_Linear4,stress,800,9,2035.8512760452716,1369.6408737567065,630.3591262432935,0.32723922917528014,0.0
City-A,T3,10x,2000.0,S4_GlobalCalib,routine,800,8,2230.801071644974,1854.083,145.91699999999992,0.16887120794109406,0.0
City-A,T3,10x,2000.0,S4_GlobalCalib,stress,800,8,2230.801071644974,1213.9913633129925,786.0086366870075,0.4558047426354312,0.0
City-A,T3,10x,2000.0,S5_CityCalib,routine,800,8,2091.665930238611,1854.083,145.91699999999992,0.11358550464677131,0.0
City-A,T3,10x,2000.0,S5_CityCalib,stress,800,8,2091.665930238611,1213.9913633129925,786.0086366870075,0.4196055183752484,0.0
City-A,T3,10x,2000.0,S6_Q10,routine,800,19,2017.016721730017,3770.548,0.0,0.0,1.0
City-A,T3,10x,2000.0,S6_Q10,stress,800,19,2017.016721730017,2473.756778530913,0.0,0.0,1.0
City-A,T4,1x,140.0,S0_Oracle,routine,800,1,277.547,277.547,0.0,0.0,1.0
City-A,T4,1x,140.0,S0_Oracle,stress,800,1,277.547,202.476876727138,0.0,0.27047715620367724,1.0
City-A,T4,1x,140.0,S1_CapOnly,routine,800,1,678.17287,188.535,0.0,0.7219956616666191,1.0
City-A,T4,1x,140.0,S1_CapOnly,stress,800,1,678.17287,123.25848643945575,16.74151356054425,0.8182491634626202,0.0
City-A,T4,1x,140.0,S2_Platform,routine,800,1,299.216,277.547,0.0,0.07241925565477776,1.0
City-A,T4,1x,140.0,S2_Platform,stress,800,1,299.216,202.476876727138,0.0,0.32330865753456367,1.0
City-A,T4,1x,140.0,S3_Linear4,routine,800,1,310.3880500260971,188.535,0.0,0.3925829297096065,1.0
City-A,T4,1x,140.0,S3_Linear4,stress,800,1,310.3880500260971,123.25848643945575,16.74151356054425,0.6028890724720481,0.0
City-A,T4,1x,140.0,S4_GlobalCalib,routine,800,1,216.2610089575743,277.547,0.0,0.0,1.0
City-A,T4,1x,140.0,S4_GlobalCalib,stress,800,1,216.2610089575743,202.476876727138,0.0,0.06373840710759114,1.0
City-A,T4,1x,140.0,S5_CityCalib,routine,800,1,203.5619066633238,277.547,0.0,0.0,1.0
City-A,T4,1x,140.0,S5_CityCalib,stress,800,1,203.5619066633238,202.476876727138,0.0,0.0053302209336266605,1.0
City-A,T4,1x,140.0,S6_Q10,routine,800,2,179.98115906666175,499.521,0.0,0.0,1.0
City-A,T4,1x,140.0,S6_Q10,stress,800,2,179.98115906666175,347.5967710115507,0.0,0.0,1.0
City-A,T4,2x,280.0,S0_Oracle,routine,800,2,553.1690000000001,553.1690000000001,0.0,0.0,1.0
City-A,T4,2x,280.0,S0_Oracle,stress,800,2,553.1690000000001,383.80532979095585,0.0,0.3061698508214383,1.0
City-A,T4,2x,280.0,S1_CapOnly,routine,800,1,678.17287,188.535,91.465,0.7219956616666191,0.0
City-A,T4,2x,280.0,S1_CapOnly,stress,800,1,678.17287,123.25848643945575,156.74151356054426,0.8182491634626202,0.0
City-A,T4,2x,280.0,S2_Platform,routine,800,1,299.216,277.547,2.4529999999999745,0.07241925565477776,0.0
City-A,T4,2x,280.0,S2_Platform,stress,800,1,299.216,202.476876727138,77.523123272862,0.32330865753456367,0.0
City-A,T4,2x,280.0,S3_Linear4,routine,800,1,310.3880500260971,188.535,91.465,0.3925829297096065,0.0
City-A,T4,2x,280.0,S3_Linear4,stress,800,1,310.3880500260971,123.25848643945575,156.74151356054426,0.6028890724720481,0.0
City-A,T4,2x,280.0,S4_GlobalCalib,routine,800,2,422.09835084481864,499.521,0.0,0.0,1.0
City-A,T4,2x,280.0,S4_GlobalCalib,stress,800,2,422.09835084481864,347.5967710115507,0.0,0.17650289247554515,1.0
City-A,T4,2x,280.0,S5_CityCalib,routine,800,2,397.48168912929435,499.521,0.0,0.0,1.0
City-A,T4,2x,280.0,S5_CityCalib,stress,800,2,397.48168912929435,347.5967710115507,0.0,0.12550243063276534,1.0
City-A,T4,2x,280.0,S6_Q10,routine,800,4,353.2524321307203,1034.3500000000001,0.0,0.0,1.0
City-A,T4,2x,280.0,S6_Q10,stress,800,4,353.2524321307203,698.3869287695209,0.0,0.0,1.0
City-A,T4,5x,700.0,S0_Oracle,routine,800,3,812.3760000000001,812.3760000000001,0.0,0.0,1.0
City-A,T4,5x,700.0,S0_Oracle,stress,800,3,812.3760000000001,553.2670344851082,146.73296551489182,0.31895201915725213,0.0
City-A,T4,5x,700.0,S1_CapOnly,routine,800,2,1293.3561519999998,466.082,233.918,0.6396336776383926,0.0
City-A,T4,5x,700.0,S1_CapOnly,stress,800,2,1293.3561519999998,325.73536316659374,374.26463683340626,0.7481472039523775,0.0
City-A,T4,5x,700.0,S2_Platform,routine,800,3,870.04,758.7280000000001,0.0,0.12793894533584652,1.0
City-A,T4,5x,700.0,S2_Platform,stress,800,3,870.04,517.058475705703,182.94152429429698,0.4057072367871557,0.0
City-A,T4,5x,700.0,S3_Linear4,routine,800,3,805.3636547507406,443.558,256.442,0.44924507409354,0.0
City-A,T4,5x,700.0,S3_Linear4,stress,800,3,805.3636547507406,289.9848183526248,410.0151816473752,0.6399330704309286,0.0
City-A,T4,5x,700.0,S4_GlobalCalib,routine,800,4,827.4907906976933,1034.3500000000001,0.0,0.0,1.0
