seed_id,city,task_id,strategy,req_level,k,topk_overlap,capacity_regret,cap_strat,cap_oracle
0,City-A,T1,S1_CapRR,1x,1,0.0,0.22254090244764346,395.11292381276496,508.2105606027162
0,City-A,T1,S1_CapRR,2x,1,0.0,0.22254090244764346,395.11292381276496,508.2105606027162
0,City-A,T1,S1_CapRR,5x,2,0.0,0.32114791578477186,642.5732158644562,946.5585078188111
0,City-A,T1,S1_CapRR,10x,3,0.3333333333333333,0.15697114515045274,1150.7837764671724,1365.0585858921154
0,City-A,T1,S4_GlobalCalib,1x,1,0.0,0.22254090244764346,395.11292381276496,508.2105606027162
0,City-A,T1,S4_GlobalCalib,2x,1,0.0,0.22254090244764346,395.11292381276496,508.2105606027162
0,City-A,T1,S4_GlobalCalib,5x,3,0.3333333333333333,0.15697114515045274,1150.7837764671724,1365.0585858921154
0,City-A,T1,S4_GlobalCalib,10x,5,0.2,0.14459460202112762,1872.2242712711459,2188.698219224223
0,City-A,T2,S1_CapRR,1x,1,0.0,0.05616596759072645,435.3134027891991,461.2181674335247
0,City-A,T2,S1_CapRR,2x,1,0.0,0.05616596759072645,435.3134027891991,461.2181674335247
0,City-A,T2,S1_CapRR,5x,3,0.3333333333333333,0.22124289061045743,1033.9926588567278,1327.7473122104284
0,City-A,T2,S1_CapRR,10x,5,0.6,0.12351299269974025,1875.3486313142605,2139.6194304016863
0,City-A,T2,S4_GlobalCalib,1x,1,0.0,0.05616596759072645,435.3134027891991,461.2181674335247
0,City-A,T2,S4_GlobalCalib,2x,2,0.5,0.295801224975767,631.3364335213942,896.5315702227238
0,City-A,T2,S4_GlobalCalib,5x,4,0.5,0.13918105925960877,1495.2108262902525,1736.9632050663524
0,City-A,T2,S4_GlobalCalib,10x,7,0.8571428571428571,0.07007971196343676,2715.7802661578894,2920.444151070192
0,City-A,T3,S1_CapRR,1x,1,1.0,0.0,467.77632000604814,467.77632000604814
0,City-A,T3,S1_CapRR,2x,1,1.0,0.0,467.77632000604814,467.77632000604814
0,City-A,T3,S1_CapRR,5x,2,0.5,0.3017206503558333,599.9591804161277,859.1965102818211
0,City-A,T3,S1_CapRR,10x,4,0.75,0.16114110233222634,1349.5224844442587,1608.7598143099522
0,City-A,T3,S4_GlobalCalib,1x,1,1.0,0.0,467.77632000604814,467.77632000604814
0,City-A,T3,S4_GlobalCalib,2x,2,0.5,0.3017206503558333,599.9591804161277,859.1965102818211
0,City-A,T3,S4_GlobalCalib,5x,3,0.3333333333333333,0.21149012811849632,973.7697056832868,1234.949289042793
0,City-A,T3,S4_GlobalCalib,10x,6,0.5,0.20194687036107462,1864.0773391974064,2335.781002501422
0,City-A,T4,S1_CapRR,1x,1,1.0,0.0,518.3980357338214,518.3980357338214
0,City-A,T4,S1_CapRR,2x,1,1.0,0.0,518.3980357338214,518.3980357338214
0,City-A,T4,S1_CapRR,5x,2,0.5,0.2215899620652968,719.1394611026708,923.8568698454987
0,City-A,T4,S1_CapRR,10x,3,0.3333333333333333,0.19637695995917925,1065.7051306121407,1326.125655329652
0,City-A,T4,S4_GlobalCalib,1x,1,1.0,0.0,518.3980357338214,518.3980357338214
0,City-A,T4,S4_GlobalCalib,2x,1,1.0,0.0,518.3980357338214,518.3980357338214
0,City-A,T4,S4_GlobalCalib,5x,2,0.5,0.2215899620652968,719.1394611026708,923.8568698454987
0,City-A,T4,S4_GlobalCalib,10x,4,0.5,0.15133041842430361,1460.4530936143867,1720.8736183318983
0,City-A,T5,S1_CapRR,1x,1,0.0,0.1221026323953861,396.3552873465376,451.4824875577568
0,City-A,T5,S1_CapRR,2x,1,0.0,0.1221026323953861,396.3552873465376,451.4824875577568
0,City-A,T5,S1_CapRR,5x,2,0.5,0.061887836341676605,835.6326561661726,890.759856377392
0,City-A,T5,S1_CapRR,10x,3,0.6666666666666666,0.010493319682670643,1287.1151437239296,1300.764481257629
0,City-A,T5,S4_GlobalCalib,1x,1,0.0,0.1221026323953861,396.3552873465376,451.4824875577568
0,City-A,T5,S4_GlobalCalib,2x,1,0.0,0.1221026323953861,396.3552873465376,451.4824875577568
0,City-A,T5,S4_GlobalCalib,5x,3,0.6666666666666666,0.010493319682670643,1287.1151437239296,1300.764481257629
0,City-A,T5,S4_GlobalCalib,10x,5,1.0,0.0,2089.339205694198,2089.339205694198
0,City-B,T1,S1_CapRR,1x,1,1.0,0.0,638.8750680083336,638.8750680083336
0,City-B,T1,S1_CapRR,2x,1,1.0,0.0,638.8750680083336,638.8750680083336
0,City-B,T1,S1_CapRR,5x,2,1.0,0.0,1270.2081170687043,1270.2081170687043
0,City-B,T1,S1_CapRR,10x,3,0.6666666666666666,0.015924129832605494,1771.9365113759206,1800.6096532724744
0,City-B,T1,S4_GlobalCalib,1x,1,1.0,0.0,638.8750680083336,638.8750680083336
0,City-B,T1,S4_GlobalCalib,2x,1,1.0,0.0,638.8750680083336,638.8750680083336
0,City-B,T1,S4_GlobalCalib,5x,2,1.0,0.0,1270.2081170687043,1270.2081170687043
0,City-B,T1,S4_GlobalCalib,10x,4,0.75,0.01235394116484445,2292.2980780529674,2320.971219949521
0,City-B,T2,S1_CapRR,1x,1,1.0,0.0,623.6515362347351,623.6515362347351
0,City-B,T2,S1_CapRR,2x,1,1.0,0.0,623.6515362347351,623.6515362347351
0,City-B,T2,S1_CapRR,5x,2,0.5,0.0345870751174856,1113.9797163412727,1153.8893748256355
0,City-B,T2,S1_CapRR,10x,4,0.75,0.09572394104016779,1929.2426562030098,2133.466475295357
0,City-B,T2,S4_GlobalCalib,1x,1,1.0,0.0,623.6515362347351,623.6515362347351
0,City-B,T2,S4_GlobalCalib,2x,1,1.0,0.0,623.6515362347351,623.6515362347351
0,City-B,T2,S4_GlobalCalib,5x,3,1.0,0.0,1644.2175549321732,1644.2175549321732
0,City-B,T2,S4_GlobalCalib,10x,5,0.6,0.15319097979073004,2142.197348038929,2529.729014352649
0,City-B,T3,S1_CapRR,1x,1,0.0,0.2655631588995232,460.0253173120447,626.3647077163843
0,City-B,T3,S1_CapRR,2x,1,0.0,0.2655631588995232,460.0253173120447,626.3647077163843
0,City-B,T3,S1_CapRR,5x,2,0.5,0.021899848561641733,1086.390025028429,1110.7145044715753
0,City-B,T3,S1_CapRR,10x,3,0.3333333333333333,0.04151471634953385,1521.885559958036,1587.8027403423619
0,City-B,T3,S4_GlobalCalib,1x,1,0.0,0.2655631588995232,460.0253173120447,626.3647077163843
0,City-B,T3,S4_GlobalCalib,2x,1,0.0,0.2655631588995232,460.0253173120447,626.3647077163843
0,City-B,T3,S4_GlobalCalib,5x,3,0.3333333333333333,0.04151471634953385,1521.885559958036,1587.8027403423619
0,City-B,T3,S4_GlobalCalib,10x,5,0.8,0.03022891502883973,2408.2554147146784,2483.3235925840136
0,City-B,T4,S1_CapRR,1x,1,0.0,0.17979729968994496,638.8928932496018,778.9451229654401
0,City-B,T4,S1_CapRR,2x,1,0.0,0.17979729968994496,638.8928932496018,778.9451229654401
0,City-B,T4,S1_CapRR,5x,1,0.0,0.17979729968994496,638.8928932496018,778.9451229654401
0,City-B,T4,S1_CapRR,10x,2,1.0,0.0,1417.838016215042,1417.838016215042
0,City-B,T4,S4_GlobalCalib,1x,1,0.0,0.17979729968994496,638.8928932496018,778.9451229654401
0,City-B,T4,S4_GlobalCalib,2x,1,0.0,0.17979729968994496,638.8928932496018,778.9451229654401
0,City-B,T4,S4_GlobalCalib,5x,2,1.0,0.0,1417.838016215042,1417.838016215042
0,City-B,T4,S4_GlobalCalib,10x,3,0.6666666666666666,0.005464523154626977,2029.3305968723755,2040.480851733245
0,City-B,T5,S1_CapRR,1x,1,0.0,0.10748967861947467,540.9353355731998,606.0830027561888
0,City-B,T5,S1_CapRR,2x,1,0.0,0.10748967861947467,540.9353355731998,606.0830027561888
0,City-B,T5,S1_CapRR,5x,2,0.5,0.05665591745223464,1084.7351714086421,1149.8828385916308
0,City-B,T5,S1_CapRR,10x,3,0.6666666666666666,0.09150540511229766,1536.0991721666423,1690.8181741648307
0,City-B,T5,S4_GlobalCalib,1x,1,0.0,0.10748967861947467,540.9353355731998,606.0830027561888
0,City-B,T5,S4_GlobalCalib,2x,1,0.0,0.10748967861947467,540.9353355731998,606.0830027561888
0,City-B,T5,S4_GlobalCalib,5x,2,0.5,0.05665591745223464,1084.7351714086421,1149.8828385916308
0,City-B,T5,S4_GlobalCalib,10x,4,0.75,0.030570499910454907,2142.182174922831,2209.734874712354
0,City-C,T1,S1_CapRR,1x,1,1.0,0.0,527.1239797400372,527.1239797400372
0,City-C,T1,S1_CapRR,2x,1,1.0,0.0,527.1239797400372,527.1239797400372
0,City-C,T1,S1_CapRR,5x,2,0.5,0.15194381879209506,888.0199756158581,1047.1239940153869
0,City-C,T1,S1_CapRR,10x,3,0.6666666666666666,0.08096711267161061,1408.0199898912078,1532.0670340582635
0,City-C,T1,S4_GlobalCalib,1x,1,1.0,0.0,527.1239797400372,527.1239797400372
0,City-C,T1,S4_GlobalCalib,2x,1,1.0,0.0,527.1239797400372,527.1239797400372
0,City-C,T1,S4_GlobalCalib,5x,2,0.5,0.15194381879209506,888.0199756158581,1047.1239940153869
0,City-C,T1,S4_GlobalCalib,10x,5,0.6,0.07693347299896536,2260.5474406491603,2448.953975173911
0,City-C,T2,S1_CapRR,1x,1,0.0,0.20825037775073751,514.4138954917512,649.7178919143215
0,City-C,T2,S1_CapRR,2x,1,0.0,0.20825037775073751,514.4138954917512,649.7178919143215
0,City-C,T2,S1_CapRR,5x,2,0.5,0.0557439321789831,1164.1317874060728,1232.8560303482564
0,City-C,T2,S1_CapRR,10x,4,1.0,-2.220446049250313e-16,2223.0473272017994,2223.047327201799
0,City-C,T2,S4_GlobalCalib,1x,1,0.0,0.20825037775073751,514.4138954917512,649.7178919143215
0,City-C,T2,S4_GlobalCalib,2x,2,0.5,0.0557439321789831,1164.1317874060728,1232.8560303482564
0,City-C,T2,S4_GlobalCalib,5x,3,1.0,0.0,1747.2699258400075,1747.2699258400075
0,City-C,T2,S4_GlobalCalib,10x,7,0.7142857142857143,0.0821862262950519,3253.532997518564,3544.8727080930535
0,City-C,T3,S1_CapRR,1x,1,1.0,0.0,488.8144710655069,488.8144710655069
0,City-C,T3,S1_CapRR,2x,1,1.0,0.0,488.8144710655069,488.8144710655069
0,City-C,T3,S1_CapRR,5x,2,0.5,0.2284452417904217,708.6776404552908,918.5059555588819
0,City-C,T3,S1_CapRR,10x,4,0.75,0.10300030680270456,1517.9739733823662,1692.2792559400432
0,City-C,T3,S4_GlobalCalib,1x,1,1.0,0.0,488.8144710655069,488.8144710655069
0,City-C,T3,S4_GlobalCalib,2x,1,1.0,0.0,488.8144710655069,488.8144710655069
0,City-C,T3,S4_GlobalCalib,5x,3,0.3333333333333333,0.1709425561542134,1088.282488888991,1312.674407506343
0,City-C,T3,S4_GlobalCalib,10x,6,0.5,0.13973449493076218,2069.7920355163587,2405.992130708267
0,City-C,T4,S1_CapRR,1x,1,1.0,0.0,558.1430025391173,558.1430025391173
0,City-C,T4,S1_CapRR,2x,1,1.0,0.0,558.1430025391173,558.1430025391173
0,City-C,T4,S1_CapRR,5x,1,1.0,0.0,558.1430025391173,558.1430025391173
