seed_id,city,task_id,strategy,success,n_selected,p_commit,p_deliv,shortfall,ocr,unused_deliv,pool_fraction
0,City-A,T1,S1_CapRR,0.0,2,1293.3561519999998,642.5732158644562,257.4267841355438,0.5031738049331548,0.0,0.0025
0,City-A,T1,S4_GlobalCalib,1.0,3,1253.8860878440246,1150.7837764671724,0.0,0.08222621845508302,250.7837764671724,0.00375
0,City-A,T1,S7_Isotonic,1.0,3,1235.9925964770987,1279.1630522301284,0.0,0.0,379.1630522301284,0.00375
0,City-A,T1,S8_ConformalLCB,1.0,3,1091.6896991878803,1150.7837764671724,0.0,0.0,250.7837764671724,0.00375
0,City-A,T1,Q05,1.0,4,967.4824225434951,1526.6233442818195,0.0,0.0,626.6233442818195,0.005
0,City-A,T1,Q10,1.0,4,1123.6927734373037,1526.6233442818195,0.0,0.0,626.6233442818195,0.005
0,City-A,T1,Q20,1.0,3,1010.7340473482313,1150.7837764671724,0.0,0.0,250.7837764671724,0.00375
0,City-A,T1,Q30,1.0,3,1119.4762506281472,1150.7837764671724,0.0,0.0,250.7837764671724,0.00375
0,City-A,T2,S1_CapRR,0.0,3,1889.6612019999998,1033.9926588567278,266.00734114327224,0.4528158498664419,0.0,0.00375
0,City-A,T2,S4_GlobalCalib,1.0,4,1651.997202851647,1495.2108262902525,0.0,0.09490716829953026,195.2108262902525,0.005
0,City-A,T2,S7_Isotonic,1.0,4,1655.975342802978,1495.2108262902525,0.0,0.0970814675541052,195.2108262902525,0.005
0,City-A,T2,S8_ConformalLCB,1.0,4,1442.8684804352667,1495.2108262902525,0.0,0.0,195.2108262902525,0.005
0,City-A,T2,Q05,1.0,6,1406.326607638664,2284.5645241701845,0.0,0.0,984.5645241701845,0.0075
0,City-A,T2,Q10,1.0,5,1390.7141892604493,1875.3486313142605,0.0,0.0,575.3486313142605,0.00625
0,City-A,T2,Q20,1.0,4,1327.6620204390342,1495.2108262902525,0.0,0.0,195.2108262902525,0.005
0,City-A,T2,Q30,1.0,4,1463.5810887128282,1495.2108262902525,0.0,0.0,195.2108262902525,0.005
0,City-A,T3,S1_CapRR,0.0,2,1138.1160166,599.9591804161277,400.04081958387235,0.4728488381980234,0.0,0.0025
0,City-A,T3,S4_GlobalCalib,0.0,3,1105.1118810247176,973.7697056832867,26.230294316713298,0.11884966363735368,0.0,0.00375
0,City-A,T3,S7_Isotonic,0.0,3,1105.8830804329777,973.7697056832867,26.230294316713298,0.11946414326003227,0.0,0.00375
0,City-A,T3,S8_ConformalLCB,1.0,4,1231.538647111061,1349.5224844442587,0.0,0.0,349.5224844442587,0.005
0,City-A,T3,Q05,1.0,5,1034.7426362505912,1653.593228405417,0.0,0.0,653.593228405417,0.00625
