city,task_id,p_req_level,p_req,strategy,regime,eval_outcome,pool_size,pool_feasible,n_selected,p_commit,p_deliv,shortfall,ocr,success,seed_id,master_seed
City-A,T1,1x,180.0,S0a_RoutineOracle,routine,M_routine,800,True,1,666.0,666.0,0.0,0.0,1.0,25,25000002048
City-A,T1,1x,180.0,S0a_RoutineOracle,cross_regime,M_stress,800,True,1,666.0,445.7,0.0,0.3307,1.0,25,25000002048
City-A,T1,1x,180.0,S0b_StressOracle,routine,M_routine,800,True,1,445.7,666.0,0.0,0.0,1.0,25,25000002048
City-A,T1,1x,180.0,S0b_StressOracle,cross_regime,M_stress,800,True,1,445.7,445.7,0.0,0.0,1.0,25,25000002048
City-A,T1,1x,180.0,S1_CapRR,routine,M_routine,800,True,1,678.2,666.0,0.0,0.0179,1.0,25,25000002048
City-A,T1,1x,180.0,S1_CapRR,cross_regime,M_stress,800,True,1,678.2,445.7,0.0,0.3427,1.0,25,25000002048
City-A,T1,1x,180.0,S2_Platform,routine,M_routine,800,True,1,421.1,666.0,0.0,0.0,1.0,25,25000002048
City-A,T1,1x,180.0,S2_Platform,cross_regime,M_stress,800,True,1,421.1,445.7,0.0,0.0,1.0,25,25000002048
City-A,T1,1x,180.0,S3_Lin4,routine,M_routine,800,True,1,731.5,666.0,0.0,0.0895,1.0,25,25000002048
City-A,T1,1x,180.0,S3_Lin4,cross_regime,M_stress,800,True,1,731.5,445.7,0.0,0.3906,1.0,25,25000002048
City-A,T1,1x,180.0,S4_GlobalCalib,routine,M_routine,800,True,1,676.0,666.0,0.0,0.0147,1.0,25,25000002048
City-A,T1,1x,180.0,S4_GlobalCalib,cross_regime,M_stress,800,True,1,676.0,445.7,0.0,0.3406,1.0,25,25000002048
City-A,T1,1x,180.0,S5_CityCalib,routine,M_routine,800,True,1,674.6,666.0,0.0,0.0128,1.0,25,25000002048
City-A,T1,1x,180.0,S5_CityCalib,cross_regime,M_stress,800,True,1,674.6,445.7,0.0,0.3393,1.0,25,25000002048
City-A,T1,1x,180.0,S6_Q10,routine,M_routine,800,True,1,668.2,666.0,0.0,0.0032,1.0,25,25000002048
City-A,T1,1x,180.0,S6_Q10,cross_regime,M_stress,800,True,1,668.2,445.7,0.0,0.3329,1.0,25,25000002048
City-A,T1,2x,360.0,S0a_RoutineOracle,routine,M_routine,800,True,1,666.0,666.0,0.0,0.0,1.0,25,25000002048
City-A,T1,2x,360.0,S0a_RoutineOracle,cross_regime,M_stress,800,True,1,666.0,445.7,0.0,0.3307,1.0,25,25000002048
City-A,T1,2x,360.0,S0b_StressOracle,routine,M_routine,800,True,1,445.7,666.0,0.0,0.0,1.0,25,25000002048
City-A,T1,2x,360.0,S0b_StressOracle,cross_regime,M_stress,800,True,1,445.7,445.7,0.0,0.0,1.0,25,25000002048
City-A,T1,2x,360.0,S1_CapRR,routine,M_routine,800,True,1,678.2,666.0,0.0,0.0179,1.0,25,25000002048
City-A,T1,2x,360.0,S1_CapRR,cross_regime,M_stress,800,True,1,678.2,445.7,0.0,0.3427,1.0,25,25000002048
City-A,T1,2x,360.0,S2_Platform,routine,M_routine,800,True,1,421.1,666.0,0.0,0.0,1.0,25,25000002048
City-A,T1,2x,360.0,S2_Platform,cross_regime,M_stress,800,True,1,421.1,445.7,0.0,0.0,1.0,25,25000002048
City-A,T1,2x,360.0,S3_Lin4,routine,M_routine,800,True,1,731.5,666.0,0.0,0.0895,1.0,25,25000002048
City-A,T1,2x,360.0,S3_Lin4,cross_regime,M_stress,800,True,1,731.5,445.7,0.0,0.3906,1.0,25,25000002048
City-A,T1,2x,360.0,S4_GlobalCalib,routine,M_routine,800,True,1,676.0,666.0,0.0,0.0147,1.0,25,25000002048
City-A,T1,2x,360.0,S4_GlobalCalib,cross_regime,M_stress,800,True,1,676.0,445.7,0.0,0.3406,1.0,25,25000002048
City-A,T1,2x,360.0,S5_CityCalib,routine,M_routine,800,True,1,674.6,666.0,0.0,0.0128,1.0,25,25000002048
City-A,T1,2x,360.0,S5_CityCalib,cross_regime,M_stress,800,True,1,674.6,445.7,0.0,0.3393,1.0,25,25000002048
City-A,T1,2x,360.0,S6_Q10,routine,M_routine,800,True,1,668.2,666.0,0.0,0.0032,1.0,25,25000002048
City-A,T1,2x,360.0,S6_Q10,cross_regime,M_stress,800,True,1,668.2,445.7,0.0,0.3329,1.0,25,25000002048
City-A,T1,5x,900.0,S0a_RoutineOracle,routine,M_routine,800,True,2,1283.9,1283.9,0.0,0.0,1.0,25,25000002048
City-A,T1,5x,900.0,S0a_RoutineOracle,cross_regime,M_stress,800,True,2,1283.9,846.8,53.2,0.3405,0.0,25,25000002048
City-A,T1,5x,900.0,S0b_StressOracle,routine,M_routine,800,True,3,1237.6,1882.8,0.0,0.0,1.0,25,25000002048
