city,task_id,p_req_level,p_req,strategy,regime,eval_outcome,pool_size,pool_feasible,n_selected,p_commit,p_deliv,shortfall,ocr,success,seed_id,master_seed
City-A,T1,1x,180.0,S0a_RoutineOracle,routine,M_routine,800,True,1,681.2,681.2,0.0,0.0,1.0,28,28000002048
City-A,T1,1x,180.0,S0a_RoutineOracle,cross_regime,M_stress,800,True,1,681.2,445.2,0.0,0.3465,1.0,28,28000002048
City-A,T1,1x,180.0,S0b_StressOracle,routine,M_routine,800,True,1,445.2,681.2,0.0,0.0,1.0,28,28000002048
City-A,T1,1x,180.0,S0b_StressOracle,cross_regime,M_stress,800,True,1,445.2,445.2,0.0,0.0,1.0,28,28000002048
City-A,T1,1x,180.0,S1_CapRR,routine,M_routine,800,True,1,678.2,681.2,0.0,0.0,1.0,28,28000002048
City-A,T1,1x,180.0,S1_CapRR,cross_regime,M_stress,800,True,1,678.2,445.2,0.0,0.3436,1.0,28,28000002048
City-A,T1,1x,180.0,S2_Platform,routine,M_routine,800,True,1,421.1,681.2,0.0,0.0,1.0,28,28000002048
City-A,T1,1x,180.0,S2_Platform,cross_regime,M_stress,800,True,1,421.1,445.2,0.0,0.0,1.0,28,28000002048
City-A,T1,1x,180.0,S3_Lin4,routine,M_routine,800,True,1,730.9,681.2,0.0,0.068,1.0,28,28000002048
City-A,T1,1x,180.0,S3_Lin4,cross_regime,M_stress,800,True,1,730.9,445.2,0.0,0.391,1.0,28,28000002048
City-A,T1,1x,180.0,S4_GlobalCalib,routine,M_routine,800,True,1,675.7,681.2,0.0,0.0,1.0,28,28000002048
City-A,T1,1x,180.0,S4_GlobalCalib,cross_regime,M_stress,800,True,1,675.7,445.2,0.0,0.3411,1.0,28,28000002048
City-A,T1,1x,180.0,S5_CityCalib,routine,M_routine,800,True,1,674.6,681.2,0.0,0.0,1.0,28,28000002048
City-A,T1,1x,180.0,S5_CityCalib,cross_regime,M_stress,800,True,1,674.6,445.2,0.0,0.3401,1.0,28,28000002048
City-A,T1,1x,180.0,S6_Q10,routine,M_routine,800,True,1,668.0,681.2,0.0,0.0,1.0,28,28000002048
City-A,T1,1x,180.0,S6_Q10,cross_regime,M_stress,800,True,1,668.0,445.2,0.0,0.3336,1.0,28,28000002048
City-A,T1,2x,360.0,S0a_RoutineOracle,routine,M_routine,800,True,1,681.2,681.2,0.0,0.0,1.0,28,28000002048
City-A,T1,2x,360.0,S0a_RoutineOracle,cross_regime,M_stress,800,True,1,681.2,445.2,0.0,0.3465,1.0,28,28000002048
City-A,T1,2x,360.0,S0b_StressOracle,routine,M_routine,800,True,1,445.2,681.2,0.0,0.0,1.0,28,28000002048
City-A,T1,2x,360.0,S0b_StressOracle,cross_regime,M_stress,800,True,1,445.2,445.2,0.0,0.0,1.0,28,28000002048
City-A,T1,2x,360.0,S1_CapRR,routine,M_routine,800,True,1,678.2,681.2,0.0,0.0,1.0,28,28000002048
City-A,T1,2x,360.0,S1_CapRR,cross_regime,M_stress,800,True,1,678.2,445.2,0.0,0.3436,1.0,28,28000002048
City-A,T1,2x,360.0,S2_Platform,routine,M_routine,800,True,1,421.1,681.2,0.0,0.0,1.0,28,28000002048
City-A,T1,2x,360.0,S2_Platform,cross_regime,M_stress,800,True,1,421.1,445.2,0.0,0.0,1.0,28,28000002048
City-A,T1,2x,360.0,S3_Lin4,routine,M_routine,800,True,1,730.9,681.2,0.0,0.068,1.0,28,28000002048
City-A,T1,2x,360.0,S3_Lin4,cross_regime,M_stress,800,True,1,730.9,445.2,0.0,0.391,1.0,28,28000002048
City-A,T1,2x,360.0,S4_GlobalCalib,routine,M_routine,800,True,1,675.7,681.2,0.0,0.0,1.0,28,28000002048
City-A,T1,2x,360.0,S4_GlobalCalib,cross_regime,M_stress,800,True,1,675.7,445.2,0.0,0.3411,1.0,28,28000002048
City-A,T1,2x,360.0,S5_CityCalib,routine,M_routine,800,True,1,674.6,681.2,0.0,0.0,1.0,28,28000002048
City-A,T1,2x,360.0,S5_CityCalib,cross_regime,M_stress,800,True,1,674.6,445.2,0.0,0.3401,1.0,28,28000002048
City-A,T1,2x,360.0,S6_Q10,routine,M_routine,800,True,1,668.0,681.2,0.0,0.0,1.0,28,28000002048
City-A,T1,2x,360.0,S6_Q10,cross_regime,M_stress,800,True,1,668.0,445.2,0.0,0.3336,1.0,28,28000002048
City-A,T1,5x,900.0,S0a_RoutineOracle,routine,M_routine,800,True,2,1295.9,1295.9,0.0,0.0,1.0,28,28000002048
City-A,T1,5x,900.0,S0a_RoutineOracle,cross_regime,M_stress,800,True,2,1295.9,849.1,50.9,0.3448,0.0,28,28000002048
City-A,T1,5x,900.0,S0b_StressOracle,routine,M_routine,800,True,3,1241.2,1890.3,0.0,0.0,1.0,28,28000002048
City-A,T1,5x,900.0,S0b_StressOracle,cross_regime,M_stress,800,True,3,1241.2,1241.2,0.0,0.0,1.0,28,28000002048
City-A,T1,5x,900.0,S1_CapRR,routine,M_routine,800,True,2,1293.4,1295.9,0.0,0.0,1.0,28,28000002048
City-A,T1,5x,900.0,S1_CapRR,cross_regime,M_stress,800,True,2,1293.4,849.1,50.9,0.3435,0.0,28,28000002048
City-A,T1,5x,900.0,S2_Platform,routine,M_routine,800,True,3,1202.1,1818.4,0.0,0.0,1.0,28,28000002048
City-A,T1,5x,900.0,S2_Platform,cross_regime,M_stress,800,True,3,1202.1,1191.5,0.0,0.0088,1.0,28,28000002048
City-A,T1,5x,900.0,S3_Lin4,routine,M_routine,800,True,2,1306.8,1275.6,0.0,0.0239,1.0,28,28000002048
City-A,T1,5x,900.0,S3_Lin4,cross_regime,M_stress,800,True,2,1306.8,837.3,62.7,0.3593,0.0,28,28000002048
City-A,T1,5x,900.0,S4_GlobalCalib,routine,M_routine,800,True,2,1288.6,1295.9,0.0,0.0,1.0,28,28000002048
City-A,T1,5x,900.0,S4_GlobalCalib,cross_regime,M_stress,800,True,2,1288.6,849.1,50.9,0.3411,0.0,28,28000002048
City-A,T1,5x,900.0,S5_CityCalib,routine,M_routine,800,True,2,1286.5,1295.9,0.0,0.0,1.0,28,28000002048
City-A,T1,5x,900.0,S5_CityCalib,cross_regime,M_stress,800,True,2,1286.5,849.1,50.9,0.34,0.0,28,28000002048
City-A,T1,5x,900.0,S6_Q10,routine,M_routine,800,True,2,1273.9,1295.9,0.0,0.0,1.0,28,28000002048
City-A,T1,5x,900.0,S6_Q10,cross_regime,M_stress,800,True,2,1273.9,849.1,50.9,0.3335,0.0,28,28000002048
City-A,T1,10x,1800.0,S0a_RoutineOracle,routine,M_routine,800,True,3,1890.3,1890.3,0.0,0.0,1.0,28,28000002048
City-A,T1,10x,1800.0,S0a_RoutineOracle,cross_regime,M_stress,800,True,3,1890.3,1241.2,558.8,0.3434,0.0,28,28000002048
City-A,T1,10x,1800.0,S0b_StressOracle,routine,M_routine,800,True,5,1991.2,3042.0,0.0,0.0,1.0,28,28000002048
