city,task_id,p_req_level,p_req,strategy,regime,eval_outcome,pool_size,pool_feasible,n_selected,p_commit,p_deliv,shortfall,ocr,success,seed_id,master_seed
City-A,T1,1x,180.0,S0a_RoutineOracle,routine,M_routine,800,True,1,662.0,662.0,0.0,0.0,1.0,3,3000002048
City-A,T1,1x,180.0,S0a_RoutineOracle,cross_regime,M_stress,800,True,1,662.0,444.7,0.0,0.3283,1.0,3,3000002048
City-A,T1,1x,180.0,S0b_StressOracle,routine,M_routine,800,True,1,444.7,662.0,0.0,0.0,1.0,3,3000002048
City-A,T1,1x,180.0,S0b_StressOracle,cross_regime,M_stress,800,True,1,444.7,444.7,0.0,0.0,1.0,3,3000002048
City-A,T1,1x,180.0,S1_CapRR,routine,M_routine,800,True,1,678.2,662.0,0.0,0.0238,1.0,3,3000002048
City-A,T1,1x,180.0,S1_CapRR,cross_regime,M_stress,800,True,1,678.2,444.7,0.0,0.3443,1.0,3,3000002048
City-A,T1,1x,180.0,S2_Platform,routine,M_routine,800,True,1,421.1,662.0,0.0,0.0,1.0,3,3000002048
City-A,T1,1x,180.0,S2_Platform,cross_regime,M_stress,800,True,1,421.1,444.7,0.0,0.0,1.0,3,3000002048
City-A,T1,1x,180.0,S3_Lin4,routine,M_routine,800,True,1,730.2,662.0,0.0,0.0934,1.0,3,3000002048
City-A,T1,1x,180.0,S3_Lin4,cross_regime,M_stress,800,True,1,730.2,444.7,0.0,0.391,1.0,3,3000002048
City-A,T1,1x,180.0,S4_GlobalCalib,routine,M_routine,800,True,1,674.9,662.0,0.0,0.0191,1.0,3,3000002048
City-A,T1,1x,180.0,S4_GlobalCalib,cross_regime,M_stress,800,True,1,674.9,444.7,0.0,0.3411,1.0,3,3000002048
City-A,T1,1x,180.0,S5_CityCalib,routine,M_routine,800,True,1,674.3,662.0,0.0,0.0183,1.0,3,3000002048
City-A,T1,1x,180.0,S5_CityCalib,cross_regime,M_stress,800,True,1,674.3,444.7,0.0,0.3406,1.0,3,3000002048
