city,task_id,p_req_level,p_req,strategy,regime,eval_outcome,pool_size,pool_feasible,n_selected,p_commit,p_deliv,shortfall,ocr,success,seed_id,master_seed
City-A,T1,1x,180.0,S0a_RoutineOracle,routine,M_routine,800,True,1,680.8,680.8,0.0,0.0,1.0,23,23000002048
City-A,T1,1x,180.0,S0a_RoutineOracle,cross_regime,M_stress,800,True,1,680.8,442.6,0.0,0.3499,1.0,23,23000002048
City-A,T1,1x,180.0,S0b_StressOracle,routine,M_routine,800,True,1,442.6,680.8,0.0,0.0,1.0,23,23000002048
City-A,T1,1x,180.0,S0b_StressOracle,cross_regime,M_stress,800,True,1,442.6,442.6,0.0,0.0,1.0,23,23000002048
City-A,T1,1x,180.0,S1_CapRR,routine,M_routine,800,True,1,678.2,680.8,0.0,0.0,1.0,23,23000002048
City-A,T1,1x,180.0,S1_CapRR,cross_regime,M_stress,800,True,1,678.2,442.6,0.0,0.3474,1.0,23,23000002048
City-A,T1,1x,180.0,S2_Platform,routine,M_routine,800,True,1,421.1,680.8,0.0,0.0,1.0,23,23000002048
City-A,T1,1x,180.0,S2_Platform,cross_regime,M_stress,800,True,1,421.1,442.6,0.0,0.0,1.0,23,23000002048
City-A,T1,1x,180.0,S3_Lin4,routine,M_routine,800,True,1,730.6,680.8,0.0,0.0681,1.0,23,23000002048
City-A,T1,1x,180.0,S3_Lin4,cross_regime,M_stress,800,True,1,730.6,442.6,0.0,0.3942,1.0,23,23000002048
City-A,T1,1x,180.0,S4_GlobalCalib,routine,M_routine,800,True,1,675.6,680.8,0.0,0.0,1.0,23,23000002048
City-A,T1,1x,180.0,S4_GlobalCalib,cross_regime,M_stress,800,True,1,675.6,442.6,0.0,0.3449,1.0,23,23000002048
City-A,T1,1x,180.0,S5_CityCalib,routine,M_routine,800,True,1,674.7,680.8,0.0,0.0,1.0,23,23000002048
City-A,T1,1x,180.0,S5_CityCalib,cross_regime,M_stress,800,True,1,674.7,442.6,0.0,0.344,1.0,23,23000002048
City-A,T1,1x,180.0,S6_Q10,routine,M_routine,800,True,1,668.1,680.8,0.0,0.0,1.0,23,23000002048
City-A,T1,1x,180.0,S6_Q10,cross_regime,M_stress,800,True,1,668.1,442.6,0.0,0.3375,1.0,23,23000002048
City-A,T1,2x,360.0,S0a_RoutineOracle,routine,M_routine,800,True,1,680.8,680.8,0.0,0.0,1.0,23,23000002048
City-A,T1,2x,360.0,S0a_RoutineOracle,cross_regime,M_stress,800,True,1,680.8,442.6,0.0,0.3499,1.0,23,23000002048
City-A,T1,2x,360.0,S0b_StressOracle,routine,M_routine,800,True,1,442.6,680.8,0.0,0.0,1.0,23,23000002048
City-A,T1,2x,360.0,S0b_StressOracle,cross_regime,M_stress,800,True,1,442.6,442.6,0.0,0.0,1.0,23,23000002048
City-A,T1,2x,360.0,S1_CapRR,routine,M_routine,800,True,1,678.2,680.8,0.0,0.0,1.0,23,23000002048
City-A,T1,2x,360.0,S1_CapRR,cross_regime,M_stress,800,True,1,678.2,442.6,0.0,0.3474,1.0,23,23000002048
City-A,T1,2x,360.0,S2_Platform,routine,M_routine,800,True,1,421.1,680.8,0.0,0.0,1.0,23,23000002048
City-A,T1,2x,360.0,S2_Platform,cross_regime,M_stress,800,True,1,421.1,442.6,0.0,0.0,1.0,23,23000002048
City-A,T1,2x,360.0,S3_Lin4,routine,M_routine,800,True,1,730.6,680.8,0.0,0.0681,1.0,23,23000002048
City-A,T1,2x,360.0,S3_Lin4,cross_regime,M_stress,800,True,1,730.6,442.6,0.0,0.3942,1.0,23,23000002048
City-A,T1,2x,360.0,S4_GlobalCalib,routine,M_routine,800,True,1,675.6,680.8,0.0,0.0,1.0,23,23000002048
City-A,T1,2x,360.0,S4_GlobalCalib,cross_regime,M_stress,800,True,1,675.6,442.6,0.0,0.3449,1.0,23,23000002048
City-A,T1,2x,360.0,S5_CityCalib,routine,M_routine,800,True,1,674.7,680.8,0.0,0.0,1.0,23,23000002048
City-A,T1,2x,360.0,S5_CityCalib,cross_regime,M_stress,800,True,1,674.7,442.6,0.0,0.344,1.0,23,23000002048
City-A,T1,2x,360.0,S6_Q10,routine,M_routine,800,True,1,668.1,680.8,0.0,0.0,1.0,23,23000002048
City-A,T1,2x,360.0,S6_Q10,cross_regime,M_stress,800,True,1,668.1,442.6,0.0,0.3375,1.0,23,23000002048
City-A,T1,5x,900.0,S0a_RoutineOracle,routine,M_routine,800,True,2,1297.0,1297.0,0.0,0.0,1.0,23,23000002048
City-A,T1,5x,900.0,S0a_RoutineOracle,cross_regime,M_stress,800,True,2,1297.0,846.5,53.5,0.3473,0.0,23,23000002048
City-A,T1,5x,900.0,S0b_StressOracle,routine,M_routine,800,True,3,1236.6,1877.3,0.0,0.0,1.0,23,23000002048
City-A,T1,5x,900.0,S0b_StressOracle,cross_regime,M_stress,800,True,3,1236.6,1236.6,0.0,0.0,1.0,23,23000002048
City-A,T1,5x,900.0,S1_CapRR,routine,M_routine,800,True,2,1293.4,1297.0,0.0,0.0,1.0,23,23000002048
City-A,T1,5x,900.0,S1_CapRR,cross_regime,M_stress,800,True,2,1293.4,846.5,53.5,0.3455,0.0,23,23000002048
City-A,T1,5x,900.0,S2_Platform,routine,M_routine,800,True,3,1202.1,1806.6,0.0,0.0,1.0,23,23000002048
City-A,T1,5x,900.0,S2_Platform,cross_regime,M_stress,800,True,3,1202.1,1188.4,0.0,0.0113,1.0,23,23000002048
City-A,T1,5x,900.0,S3_Lin4,routine,M_routine,800,True,2,1306.1,1261.2,0.0,0.0344,1.0,23,23000002048
City-A,T1,5x,900.0,S3_Lin4,cross_regime,M_stress,800,True,2,1306.1,832.7,67.3,0.3624,0.0,23,23000002048
City-A,T1,5x,900.0,S4_GlobalCalib,routine,M_routine,800,True,2,1288.4,1297.0,0.0,0.0,1.0,23,23000002048
City-A,T1,5x,900.0,S4_GlobalCalib,cross_regime,M_stress,800,True,2,1288.4,846.5,53.5,0.343,0.0,23,23000002048
City-A,T1,5x,900.0,S5_CityCalib,routine,M_routine,800,True,2,1286.7,1297.0,0.0,0.0,1.0,23,23000002048
City-A,T1,5x,900.0,S5_CityCalib,cross_regime,M_stress,800,True,2,1286.7,846.5,53.5,0.3421,0.0,23,23000002048
City-A,T1,5x,900.0,S6_Q10,routine,M_routine,800,True,2,1274.1,1297.0,0.0,0.0,1.0,23,23000002048
City-A,T1,5x,900.0,S6_Q10,cross_regime,M_stress,800,True,2,1274.1,846.5,53.5,0.3356,0.0,23,23000002048
City-A,T1,10x,1800.0,S0a_RoutineOracle,routine,M_routine,800,True,3,1880.0,1880.0,0.0,0.0,1.0,23,23000002048
City-A,T1,10x,1800.0,S0a_RoutineOracle,cross_regime,M_stress,800,True,3,1880.0,1227.5,572.5,0.3471,0.0,23,23000002048
City-A,T1,10x,1800.0,S0b_StressOracle,routine,M_routine,800,True,5,1987.1,3027.5,0.0,0.0,1.0,23,23000002048
City-A,T1,10x,1800.0,S0b_StressOracle,cross_regime,M_stress,800,True,5,1987.1,1987.1,0.0,0.0,1.0,23,23000002048
City-A,T1,10x,1800.0,S1_CapRR,routine,M_routine,800,True,3,1889.7,1877.3,0.0,0.0065,1.0,23,23000002048
City-A,T1,10x,1800.0,S1_CapRR,cross_regime,M_stress,800,True,3,1889.7,1236.6,563.4,0.3456,0.0,23,23000002048
City-A,T1,10x,1800.0,S2_Platform,routine,M_routine,800,True,5,1914.5,2881.4,0.0,0.0,1.0,23,23000002048
City-A,T1,10x,1800.0,S2_Platform,cross_regime,M_stress,800,True,5,1914.5,1891.3,0.0,0.0121,1.0,23,23000002048
City-A,T1,10x,1800.0,S3_Lin4,routine,M_routine,800,True,3,1872.3,1792.7,7.3,0.0425,0.0,23,23000002048
City-A,T1,10x,1800.0,S3_Lin4,cross_regime,M_stress,800,True,3,1872.3,1179.7,620.3,0.3699,0.0,23,23000002048
City-A,T1,10x,1800.0,S4_GlobalCalib,routine,M_routine,800,True,3,1882.5,1877.3,0.0,0.0027,1.0,23,23000002048
City-A,T1,10x,1800.0,S4_GlobalCalib,cross_regime,M_stress,800,True,3,1882.5,1236.6,563.4,0.3431,0.0,23,23000002048
City-A,T1,10x,1800.0,S5_CityCalib,routine,M_routine,800,True,3,1880.0,1877.3,0.0,0.0014,1.0,23,23000002048
City-A,T1,10x,1800.0,S5_CityCalib,cross_regime,M_stress,800,True,3,1880.0,1236.6,563.4,0.3422,0.0,23,23000002048
City-A,T1,10x,1800.0,S6_Q10,routine,M_routine,800,True,3,1861.5,1877.3,0.0,0.0,1.0,23,23000002048
City-A,T1,10x,1800.0,S6_Q10,cross_regime,M_stress,800,True,3,1861.5,1236.6,563.4,0.3357,0.0,23,23000002048
City-A,T2,1x,260.0,S0a_RoutineOracle,routine,M_routine,800,True,1,670.3,670.3,0.0,0.0,1.0,23,23000002048
City-A,T2,1x,260.0,S0a_RoutineOracle,cross_regime,M_stress,800,True,1,670.3,436.6,0.0,0.3487,1.0,23,23000002048
City-A,T2,1x,260.0,S0b_StressOracle,routine,M_routine,800,True,1,436.6,670.3,0.0,0.0,1.0,23,23000002048
City-A,T2,1x,260.0,S0b_StressOracle,cross_regime,M_stress,800,True,1,436.6,436.6,0.0,0.0,1.0,23,23000002048
City-A,T2,1x,260.0,S1_CapRR,routine,M_routine,800,True,1,678.2,670.3,0.0,0.0116,1.0,23,23000002048
City-A,T2,1x,260.0,S1_CapRR,cross_regime,M_stress,800,True,1,678.2,436.6,0.0,0.3562,1.0,23,23000002048
City-A,T2,1x,260.0,S2_Platform,routine,M_routine,800,True,1,441.1,670.3,0.0,0.0,1.0,23,23000002048
City-A,T2,1x,260.0,S2_Platform,cross_regime,M_stress,800,True,1,441.1,436.6,0.0,0.0103,1.0,23,23000002048
City-A,T2,1x,260.0,S3_Lin4,routine,M_routine,800,True,1,727.4,670.3,0.0,0.0785,1.0,23,23000002048
