regime,p_req_level,strategy,tsr_pct_pooled,tsr_mean_across_seeds_pct,tsr_std_across_seeds_pct,tsr_min_across_seeds_pct,tsr_max_across_seeds_pct,n_success_cells,n_total_cells,n_seeds,wilson95_low_pct,wilson95_high_pct,mean_ocr,mean_shortfall_kw,mean_n_selected
routine,1x,S0a_RoutineOracle,100.0,100.0,0.0,100.0,100.0,450,450,30,99.15356811370295,100.0,0.0,0.0,1.0
routine,1x,S0b_StressOracle,100.0,100.0,0.0,100.0,100.0,450,450,30,99.15356811370295,100.0,0.0,0.0,1.0
routine,1x,S1_CapRR,100.0,100.0,0.0,100.0,100.0,450,450,30,99.15356811370295,100.0,0.0067651111111111115,0.0,1.0
routine,1x,S2_Platform,100.0,100.0,0.0,100.0,100.0,450,450,30,99.15356811370295,100.0,0.0,0.0,1.0
routine,1x,S3_Lin4,100.0,100.0,0.0,100.0,100.0,450,450,30,99.15356811370295,100.0,0.038408,0.0,1.0
routine,1x,S4_GlobalCalib,100.0,100.0,0.0,100.0,100.0,450,450,30,99.15356811370295,100.0,0.005041111111111111,0.0,1.0
routine,1x,S5_CityCalib,100.0,100.0,0.0,100.0,100.0,450,450,30,99.15356811370295,100.0,0.0053544444444444455,0.0,1.0
routine,1x,S6_Q10,100.0,100.0,0.0,100.0,100.0,450,450,30,99.15356811370295,100.0,0.001898,0.0,1.0
routine,2x,S0a_RoutineOracle,100.0,100.0,0.0,100.0,100.0,450,450,30,99.15356811370295,100.0,0.0,0.0,1.0
routine,2x,S0b_StressOracle,100.0,100.0,0.0,100.0,100.0,450,450,30,99.15356811370295,100.0,0.0,0.0,1.2
routine,2x,S1_CapRR,100.0,100.0,0.0,100.0,100.0,450,450,30,99.15356811370295,100.0,0.0067651111111111115,0.0,1.0
routine,2x,S2_Platform,100.0,100.0,0.0,100.0,100.0,450,450,30,99.15356811370295,100.0,0.0,0.0,1.1333333333333333
routine,2x,S3_Lin4,100.0,100.0,0.0,100.0,100.0,450,450,30,99.15356811370295,100.0,0.038408,0.0,1.0
routine,2x,S4_GlobalCalib,100.0,100.0,0.0,100.0,100.0,450,450,30,99.15356811370295,100.0,0.005041111111111111,0.0,1.0
routine,2x,S5_CityCalib,100.0,100.0,0.0,100.0,100.0,450,450,30,99.15356811370295,100.0,0.0053544444444444455,0.0,1.0
